type,class,order,family,genus,sci_name_orig,sci_name_fb,comm_name,habitat,lh_catg
finfish,Actinopterygii,Cetomimiformes,Barbourisiidae,Barbourisia,Barbourisia rufa,Barbourisia rufa,Velvet whalefish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Lophiiformes,Lophiidae,Lophius,Lophius gastrophysus,Lophius gastrophysus,Blackfin goosefish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,Blue whiting(=Poutassou),bathypelagic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Lophiiformes,Lophiidae,Lophius,Lophius vomerinus,Lophius vomerinus,Devil anglerfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Lophiiformes,Lophiidae,Lophius,Lophius piscatorius,Lophius piscatorius,Angler(=Monk),bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,Dicentrarchus labrax,Dicentrarchus labrax,European seabass,demersal,Miscellaneous diadromous fishes
invertebrate,Cephalopoda,Teuthida,Ommastrephidae,Illex,Illex coindetii,Illex coindetii,Broadtail shortfin squid,benthic,Miscellaneous coastal fishes
invertebrate,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus maya,Octopus maya,Mexican four-eyed octopus,benthic,Miscellaneous coastal fishes
finfish,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,Psetta maxima,Scophthalmus maximus,Turbot,demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus minutus,Trisopterus minutus,Poor cod,benthopelagic,"Cods, hakes, haddocks"
finfish,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Lamna nasus,Lamna nasus,Porbeagle,pelagic-oceanic,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Lophiiformes,Lophiidae,Lophius,Lophius vaillanti,Lophius vaillanti,Shortspine African angler,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Lophiiformes,Lophiidae,Lophius,Lophius budegassa,Lophius budegassa,Blackbellied angler,bathydemersal,Miscellaneous demersal fishes
invertebrate,Malacostraca,Decapoda,Palinuridae,Palinurus,Palinurus elephas,Palinurus elephas,Common spiny lobster,benthic,"Lobsters, spiny-rock lobsters"
finfish,Myxini,Myxiniformes,Myxinidae,Eptatretus,Eptatretus cirrhatus,Eptatretus cirrhatus,Broadgilled hagfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,Genypterus blacodes,Genypterus blacodes,Pink cusk-eel,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,Genypterus capensis,Genypterus capensis,Kingklip,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,Sardinella aurita,Sardinella aurita,Round sardinella,reef-associated,"Herrings, sardines, anchovies"
invertebrate,Maxillopoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,Calanus finmarchicus,NA,pelagic,Barnacles
invertebrate,Malacostraca,Decapoda,Portunidae,Carcinus,Carcinus aestuarii,Carcinus aestuarii,Mediterranean shore crab,demersal,"Crabs, sea-spiders"
finfish,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,Genypterus chilensis,Genypterus chilensis,Red cusk-eel,bathydemersal,Miscellaneous demersal fishes
invertebrate,Malacostraca,Decapoda,Nephropidae,Homarus,Homarus gammarus,Homarus gammarus,European lobster,benthic,"Lobsters, spiny-rock lobsters"
finfish,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus bairdii,Alepocephalus bairdii,Baird's slickhead,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Osmeriformes,Argentinidae,Argentina,Argentina silus,Argentina silus,Greater argentine,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,Sprattus sprattus,European sprat,pelagic-neritic,"Herrings, sardines, anchovies"
finfish,Actinopterygii,Osmeriformes,Argentinidae,Argentina,Argentina sphyraena,Argentina sphyraena,Argentine,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber scombrus,Scomber scombrus,Atlantic mackerel,pelagic-neritic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Scombridae,Katsuwonus,Katsuwonus pelamis,Katsuwonus pelamis,Skipjack tuna,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Channichthyidae,Chionodraco,Chionodraco myersi,Chionodraco myersi,Myers' icefish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Orcynopsis,Orcynopsis unicolor,Orcynopsis unicolor,Plain bonito,pelagic-neritic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Scombridae,Euthynnus,Euthynnus alletteratus,Euthynnus alletteratus,Little tunny(=Atl.black skipj),reef-associated,"Tunas, bonitos, billfishes"
invertebrate,Malacostraca,Decapoda,Palaemonidae,Palaemon,Palaemon serratus,Palaemon serratus,Common prawn,benthic,"Shrimps, prawns"
finfish,Actinopterygii,Perciformes,Epigonidae,Epigonus,Epigonus telescopus,Epigonus telescopus,Black cardinal fish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Gadiformes,Phycidae,Phycis,Phycis blennoides,Phycis blennoides,Greater forkbeard,benthopelagic,"Cods, hakes, haddocks"
invertebrate,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon crangon,Crangon crangon,Common shrimp,benthic,"Shrimps, prawns"
finfish,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,Squalus acanthias,Picked dogfish,benthopelagic,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Gadiformes,Gadidae,Merlangius,Merlangius merlangus,Merlangius merlangus,Whiting,benthopelagic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Perciformes,Emmelichthyidae,Emmelichthys,Emmelichthys nitidus,Emmelichthys nitidus nitidus,Cape bonnetmouth,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Trichodontidae,Arctoscopus,Arctoscopus japonicus,Arctoscopus japonicus,Japanese sandfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Artedidraconidae,Pogonophryne,Pogonophryne permitini,Pogonophryne permitini,Plunderfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Channichthyidae,Chionobathyscus,Chionobathyscus dewitti,Chionobathyscus dewitti,NA,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Istiophoridae,Istiompax,Makaira indica,Istiompax indica,Black marlin,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Istiophoridae,Tetrapturus,Tetrapturus angustirostris,Tetrapturus angustirostris,Shortbill spearfish,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus orientalis,Thunnus orientalis,Pacific bluefin tuna,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,Prionace glauca,Blue shark,pelagic-oceanic,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Perciformes,Pentacerotidae,Pentaceros,Pentaceros decacanthus,Pentaceros decacanthus,Bigspined boarfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus albacares,Thunnus albacares,Yellowfin tuna,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Istiophoridae,Makaira,Makaira nigricans,Makaira nigricans,Blue marlin,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Istiophoridae,Kajikia,Tetrapturus audax,Kajikia audax,Striped marlin,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus obesus,Thunnus obesus,Bigeye tuna,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Scombridae,Acanthocybium,Acanthocybium solandri,Acanthocybium solandri,Wahoo,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Emmelichthyidae,Plagiogeneion,Plagiogeneion rubiginosum,Plagiogeneion rubiginosum,Rubyfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Lutjanidae,Etelis,Etelis oculatus,Etelis oculatus,Queen snapper,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Serranidae,Hyporthodus,Epinephelus mystacinus,Hyporthodus mystacinus,Misty grouper,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Nototheniidae,Nototheniops,Nototheniops nybelini,Nototheniops nybelini,NA,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Polymixiiformes,Polymixiidae,Polymixia,Polymixia nobilis,Polymixia nobilis,Stout beardfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Helicolenus,Helicolenus dactylopterus,Helicolenus dactylopterus,Blackbelly rosefish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius capensis,Merluccius capensis,Shallow-water Cape hake,bathydemersal,"Cods, hakes, haddocks"
finfish,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,Sardinops ocellatus,Sardinops sagax,Southern African pilchard,pelagic-neritic,"Herrings, sardines, anchovies"
finfish,Actinopterygii,Scorpaeniformes,Triglidae,Trigla,Trigla lyra,Trigla lyra,Piper gurnard,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber colias,Scomber colias,Atlantic chub mackerel,pelagic-neritic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Scorpaeniformes,Triglidae,Pterygotrigla,Pterygotrigla picta,Pterygotrigla picta,Spotted gurnard,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pontinus,Pontinus kuhlii,Pontinus kuhlii,Offshore rockfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Erilepis,Erilepis zonifer,Erilepis zonifer,Skilfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Scomberomorus,Scomberomorus tritor,Scomberomorus tritor,West African Spanish mackerel,pelagic-neritic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Stomiiformes,Stomiidae,Borostomias,Borostomias antarcticus,Borostomias antarcticus,Snaggletooth,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Syngnathiformes,Centriscidae,Centriscops,Centriscops humerosus,Centriscops humerosus,Banded yellowfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Zeiformes,Oreosomatidae,Pseudocyttus,Pseudocyttus maculatus,Pseudocyttus maculatus,Smooth oreo dory,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Zeiformes,Cyttidae,Cyttus,Cyttus traversi,Cyttus traversi,King dory,bathydemersal,Miscellaneous demersal fishes
invertebrate,Malacostraca,Decapoda,Aristeidae,Aristeus,Aristeus varidens,Aristeus varidens,Striped red shrimp,demersal,"Shrimps, prawns"
finfish,Actinopterygii,Zeiformes,Zenionidae,Capromimus,Capromimus abbreviatus,Capromimus abbreviatus,Capro dory,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Pleuronectiformes,Soleidae,Austroglossus,Austroglossus microlepis,Austroglossus microlepis,West coast sole,bathydemersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,Sebastes alutus,Pacific ocean perch,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Trachyscorpia,Trachyscorpia echinata,Trachyscorpia cristulata echinata,Spiny scorpionfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Pristigasteridae,Ilisha,Ilisha africana,Ilisha africana,West African ilisha,pelagic-neritic,"Herrings, sardines, anchovies"
invertebrate,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus argus,Panulirus argus,Caribbean spiny lobster,demersal,"Lobsters, spiny-rock lobsters"
finfish,Actinopterygii,Beryciformes,Berycidae,Beryx,Beryx decadactylus,Beryx decadactylus,Alfonsino,bathydemersal,Miscellaneous demersal fishes
invertebrate,Malacostraca,Decapoda,Carpiliidae,Carpilius,Carpilius corallinus,Carpilius corallinus,Batwing coral crab,benthic,"Crabs, sea-spiders"
invertebrate,Malacostraca,Decapoda,Scyllaridae,Scyllarides,Scyllarides aequinoctialis,Scyllarides aequinoctialis,Spanish slipper lobster,demersal,"Lobsters, spiny-rock lobsters"
finfish,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis anchoita,Engraulis anchoita,Argentine anchovy,pelagic-neritic,"Herrings, sardines, anchovies"
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,Sebastes crameri,Darkblotched rockfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes diploproa,Sebastes diploproa,Splitnose rockfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanostomus,Sebastes melanostomus,Blackgill rockfish,bathydemersal,Miscellaneous demersal fishes
finfish,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Galeorhinus galeus,Galeorhinus galeus,Tope shark,benthopelagic,"Sharks, rays, chimaeras"
finfish,Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus,Callorhinchus callorynchus,Callorhinchus callorynchus,Plownose chimaera,demersal,"Sharks, rays, chimaeras"
invertebrate,Bivalvia,Ostreoida,Pectinidae,Zygochlamys,Zygochlamys patagonica,Zygochlamys patagonica,Patagonian scallop,sessile,"Scallops, pectens"
invertebrate,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus platensis,Mytilus platensis,River Plata mussel,demersal,"Clams, cockles, arkshells"
invertebrate,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes santolla,Lithodes santolla,Southern king crab,benthic,"King crabs, squat-lobsters"
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes aurora,Sebastes aurora,Aurora rockfish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus altivelis,Sebastolobus altivelis,Longspine thornyhead,bathydemersal,Miscellaneous demersal fishes
invertebrate,Malacostraca,Decapoda,Penaeidae,Artemesia,Artemesia longinaris,Artemesia longinaris,Argentine stiletto shrimp,demersal,"Shrimps, prawns"
invertebrate,Malacostraca,Decapoda,Solenoceridae,Pleoticus,Pleoticus muelleri,Pleoticus muelleri,Argentine red shrimp,benthic,"Shrimps, prawns"
finfish,Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox,Alepisaurus ferox,Long snouted lancetfish,bathypelagic,Miscellaneous demersal fishes
invertebrate,Cephalopoda,Teuthida,Loliginidae,Doryteuthis,Loligo pealeii,Doryteuthis pealeii,Longfin squid,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Lampriformes,Lampridae,Lampris,Lampris guttatus,Lampris guttatus,Opah,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Lampriformes,Trachipteridae,Trachipterus,Trachipterus arcticus,Trachipterus arcticus,Dealfish,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius hubbsi,Merluccius hubbsi,Argentine hake,benthopelagic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,Sprattus fuegensis,Sprattus fuegensis,Falkland sprat,pelagic-neritic,"Herrings, sardines, anchovies"
finfish,Actinopterygii,Lampriformes,Trachipteridae,Trachipterus,Trachipterus trachypterus,Trachipterus trachypterus,Mediterranean dealfish,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Myctophiformes,Myctophidae,Nannobrachium,Lampanyctus achirus,Nannobrachium achirus,Lantern fish,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,Brevoortia aurea,Brevoortia aurea,Brazilian menhaden,pelagic-neritic,Shads
invertebrate,Bivalvia,Veneroida,Cardiidae,Trachycardium,Trachycardium muricatum,Trachycardium muricatum,American yellow cockle,benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Gadiformes,Macrouridae,Macrourus,Macrourus carinatus,Macrourus carinatus,Ridge scaled rattail,bathydemersal,"Cods, hakes, haddocks"
finfish,Elasmobranchii,Hexanchiformes,Hexanchidae,Notorynchus,Notorynchus cepedianus,Notorynchus cepedianus,Broadnose sevengill shark,demersal,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Myctophiformes,Myctophidae,Electrona,Electrona carlsbergi,Electrona carlsbergi,Electron subantarctic,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus nicholsi,Gymnoscopelus nicholsi,Nichol's lanternfish,bathypelagic,Miscellaneous demersal fishes
finfish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus brachyurus,Carcharhinus brachyurus,Copper shark,reef-associated,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Perciformes,Centrolophidae,Centrolophus,Centrolophus niger,Centrolophus niger,Rudderfish,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Trichiuridae,Aphanopus,Aphanopus carbo,Aphanopus carbo,Black scabbardfish,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Centrolophidae,Schedophilus,Schedophilus velaini,Schedophilus velaini,Violet warehou,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus,Maurolicus muelleri,Maurolicus muelleri,Silvery lightfish,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Zeiformes,Oreosomatidae,Neocyttus,Neocyttus rhomboidalis,Neocyttus rhomboidalis,Spiky oreo,bathypelagic,Miscellaneous demersal fishes
finfish,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Mustelus schmitti,Mustelus schmitti,Narrownose smooth-hound,demersal,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus niger,Allocyttus niger,Black oreo,bathypelagic,Miscellaneous demersal fishes
invertebrate,Bivalvia,Mytiloida,Mytilidae,Aulacomya,Aulacomya ater,Aulacomya ater,Cholga mussel,benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus verrucosus,Allocyttus verrucosus,Warty dory,bathypelagic,Miscellaneous demersal fishes
invertebrate,Gastropoda,Neogastropoda,Volutidae,Zidona,Zidona dufresnei,Zidona dufresnei,Angulate volute,demersal,"Abalones, winkles, conchs"
finfish,Actinopterygii,Beryciformes,Trachichthyidae,Hoplostethus,Hoplostethus atlanticus,Hoplostethus atlanticus,Orange roughy,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Gadiformes,Phycidae,Urophycis,Urophycis brasiliensis,Urophycis brasiliensis,Brazilian codling,demersal,"Cods, hakes, haddocks"
invertebrate,Cephalopoda,Teuthida,Loliginidae,Loligo,Loligo vulgaris,Loligo vulgaris,European squid,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Gadiformes,Merlucciidae,Macruronus,Macruronus magellanicus,Macruronus magellanicus,Patagonian grenadier,benthopelagic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mentella,Sebastes mentella,Beaked redfish,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Istiophoridae,Kajikia,Tetrapturus albidus,Kajikia albida,Atlantic white marlin,pelagic-oceanic,"Tunas, bonitos, billfishes"
invertebrate,Cephalopoda,Teuthida,Loliginidae,Loligo,Loligo reynaudii,Loligo vulgaris,Cape Hope squid,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Beryciformes,Trachichthyidae,Paratrachichthys,Paratrachichthys trailli,Paratrachichthys trailli,Sandpaper fish,bathypelagic,Miscellaneous demersal fishes
finfish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius australis,Merluccius australis,Southern hake,benthopelagic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla australis,Anguilla australis australis,Short-finned eel,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Gadiformes,Moridae,Antimora,Antimora rostrata,Antimora rostrata,Blue antimora,bathypelagic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes smitti,Odontesthes smitti,NA,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Aulopiformes,Synodontidae,Harpadon,Harpadon nehereus,Harpadon nehereus,Bombay-duck,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis brama,Abramis brama,Freshwater bream,benthopelagic,Miscellaneous coastal fishes
finfish,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja maccaini,Bathyraja maccaini,McCain's skate,demersal,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Pleuronectiformes,Achiropsettidae,Mancopsetta,Mancopsetta maculata,Mancopsetta maculata,Antarctic armless flounder,demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Gadiformes,Muraenolepididae,Muraenolepis,Muraenolepis microps,Muraenolepis microps,Smalleye moray cod,pelagic-oceanic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus rutilus,Rutilus rutilus,Roach,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,Cyprinus carpio,Common carp,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,Scardinius erythrophthalmus,Scardinius erythrophthalmus,Rudd,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus idus,Leuciscus idus,Orfe(=Ide),benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Vimba,Vimba vimba,Vimba vimba,Vimba bream,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,Alburnus alburnus,Bleak,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus,Carassius auratus,Goldfish,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Aspius aspius,Leuciscus aspius,Asp,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,Hypophthalmichthys molitrix,Silver carp,benthopelagic,Miscellaneous coastal fishes
