type,class,order,family,genus,sci_name_orig,sci_name_fb,comm_name,habitat,lh_catg
finfish,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus thynnus,Thunnus thynnus,Atlantic bluefin tuna,pelagic-oceanic,"Tunas, bonitos, billfishes"
invertebrate,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus galloprovincialis,Mytilus galloprovincialis,Mediterranean mussel,sessile,"Clams, cockles, arkshells"
invertebrate,Bivalvia,Veneroida,Veneridae,Chamelea,Chamelea gallina,Chamelea gallina,Striped venus,benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Albuliformes,Albulidae,Pterothrissus,Pterothrissus belloci,Pterothrissus belloci,Longfin bonefish,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Sardina,Sardina pilchardus,Sardina pilchardus,European pilchard(=Sardine),pelagic-neritic,"Herrings, sardines, anchovies"
finfish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,Merluccius merluccius,European hake,demersal,"Cods, hakes, haddocks"
invertebrate,Maxillopoda,Sessilia,Balanidae,Austromegabalanus,Austromegabalanus psittacus,Austromegabalanus psittacus,Giant barnacle,sessile,Barnacles
invertebrate,Malacostraca,Decapoda,Penaeidae,Melicertus,Penaeus kerathurus,Melicertus kerathurus,Caramote prawn,demersal,"Shrimps, prawns"
invertebrate,Malacostraca,Decapoda,Penaeidae,Parapenaeus,Parapenaeus longirostris,Parapenaeus longirostris,Deep-water rose shrimp,demersal,"Shrimps, prawns"
invertebrate,Malacostraca,Decapoda,Aristeidae,Aristeus,Aristeus antennatus,Aristeus antennatus,Blue and red shrimp,bathypelagic,"Shrimps, prawns"
invertebrate,Malacostraca,Decapoda,Nephropidae,Nephrops,Nephrops norvegicus,Nephrops norvegicus,Norway lobster,benthic,"Lobsters, spiny-rock lobsters"
finfish,Actinopterygii,Anguilliformes,Congridae,Conger,Conger myriaster,Conger myriaster,Whitespotted conger,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,Platichthys flesus,European flounder,demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Pleuronectiformes,Soleidae,Solea,Solea solea,Solea solea,Common sole,demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,Megrim,bathydemersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Perciformes,Scombridae,Sarda,Sarda sarda,Sarda sarda,Atlantic bonito,pelagic-neritic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Xiphiidae,Xiphias,Xiphias gladius,Xiphias gladius,Swordfish,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Anguilliformes,Synaphobranchidae,Diastobranchus,Diastobranchus capensis,Diastobranchus capensis,Basketwork eel,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Chlorophthalmus agassizi,Chlorophthalmus agassizi,Shortnose greeneye,bathydemersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,European anchovy,pelagic-neritic,"Herrings, sardines, anchovies"
