"stockid","fao_code","fao_area","iso3","country","spp_code","sci_name_orig","sci_name_fb","comm_name","year1","year2","nyr","tl_mt_median","lh_catg","resilience","m"
"21-CAN-FLW",21,"Atlantic, Northwest","CAN","Canada","FLW","Pseudopleuronectes americanus","Pseudopleuronectes americanus","Winter flounder",1950,2015,66,2508,"Flounders, halibuts, soles","Medium",0.335817999116794
"21-CAN-GHL",21,"Atlantic, Northwest","CAN","Canada","GHL","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",1961,2015,55,14623,"Flounders, halibuts, soles","Low",0.0945648244981132
"21-CAN-HAD",21,"Atlantic, Northwest","CAN","Canada","HAD","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",1950,2015,66,26912,"Cods, hakes, haddocks","Medium",0.354265019571743
"21-CAN-HAL",21,"Atlantic, Northwest","CAN","Canada","HAL","Hippoglossus hippoglossus","Hippoglossus hippoglossus","Atlantic halibut",1950,2015,66,2255.5,"Flounders, halibuts, soles","Very low",0.116466518502922
"21-CAN-HER",21,"Atlantic, Northwest","CAN","Canada","HER","Clupea harengus","Clupea harengus","Atlantic herring",1950,2015,66,185225,"Herrings, sardines, anchovies","Medium",0.250360616655768
"21-CAN-HKS",21,"Atlantic, Northwest","CAN","Canada","HKS","Merluccius bilinearis","Merluccius bilinearis","Silver hake",1974,2015,42,1911,"Cods, hakes, haddocks","Medium",0.550216328731202
"21-CAN-HKW",21,"Atlantic, Northwest","CAN","Canada","HKW","Urophycis tenuis","Urophycis tenuis","White hake",1950,2015,66,9500,"Cods, hakes, haddocks","Low",0.207190057658322
"21-CAN-ISC",21,"Atlantic, Northwest","CAN","Canada","ISC","Chlamys islandica","Chlamys islandica","Iceland scallop",1992,2015,24,1168,"Scallops, pectens","Low",0.277181819749999
"21-CAN-LBA",21,"Atlantic, Northwest","CAN","Canada","LBA","Homarus americanus","Homarus americanus","American lobster",1950,2015,66,25577.5,"Lobsters, spiny-rock lobsters","Medium",0.45642562038886
"21-CAN-MAC",21,"Atlantic, Northwest","CAN","Canada","MAC","Scomber scombrus","Scomber scombrus","Atlantic mackerel",1950,2015,66,16866.5,"Tunas, bonitos, billfishes","Medium",0.287659477519624
"21-CAN-OYA",21,"Atlantic, Northwest","CAN","Canada","OYA","Crassostrea virginica","Crassostrea virginica","American cupped oyster",1950,2015,66,1705,"Scallops, pectens","High",2.59635434293164
"21-CAN-PLA",21,"Atlantic, Northwest","CAN","Canada","PLA","Hippoglossoides platessoides","Hippoglossoides platessoides","Amer. plaice(=Long rough dab)",1950,2015,66,35009.5,"Flounders, halibuts, soles","Low",0.210817512287924
"21-CAN-POK",21,"Atlantic, Northwest","CAN","Canada","POK","Pollachius virens","Pollachius virens","Saithe(=Pollock)",1950,2015,66,19800,"Cods, hakes, haddocks","Medium",0.213934974123137
"21-CAN-PRA",21,"Atlantic, Northwest","CAN","Canada","PRA","Pandalus borealis","Pandalus borealis","Northern prawn",1979,2015,37,48310,"Shrimps, prawns","Medium",1.37600650623801
"21-CAN-SAL",21,"Atlantic, Northwest","CAN","Canada","SAL","Salmo salar","Salmo salar","Atlantic salmon",1950,2015,66,1254,"Miscellaneous diadromous fishes","Medium",0.578159608710751
"21-CAN-SCA",21,"Atlantic, Northwest","CAN","Canada","SCA","Placopecten magellanicus","Placopecten magellanicus","American sea scallop",1950,2015,66,59053.5,"Scallops, pectens","Medium",0.503010925446164
"21-CAN-SMR",21,"Atlantic, Northwest","CAN","Canada","SMR","Osmerus mordax","Osmerus mordax","Rainbow smelt",1950,2015,66,1398,"Miscellaneous pelagic fishes","Medium",0.657324019779988
"21-CAN-SQI",21,"Atlantic, Northwest","CAN","Canada","SQI","Illex illecebrosus","Illex illecebrosus","Northern shortfin squid",1950,2015,66,2172,"Miscellaneous coastal fishes","High",1.0385929914259
"21-CAN-USK",21,"Atlantic, Northwest","CAN","Canada","USK","Brosme brosme","Brosme brosme","Tusk(=Cusk)",1950,2015,66,2105,"Cods, hakes, haddocks","Low",0.224228574775959
"21-CAN-WIT",21,"Atlantic, Northwest","CAN","Canada","WIT","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","Witch flounder",1950,2015,63,6986,"Flounders, halibuts, soles","Low",0.224851030266693
"21-CAN-YEL",21,"Atlantic, Northwest","CAN","Canada","YEL","Limanda ferruginea","Limanda ferruginea","Yellowtail flounder",1960,2015,56,9738.5,"Flounders, halibuts, soles","Medium",0.219156861681078
"21-GRL-COD",21,"Atlantic, Northwest","GRL","Greenland","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,20477,"Cods, hakes, haddocks","Medium",0.270287991797001
"21-GRL-CRQ",21,"Atlantic, Northwest","GRL","Greenland","CRQ","Chionoecetes opilio","Chionoecetes opilio","Queen crab",1992,2015,24,2179,"Crabs, sea-spiders",NA,NA
"21-GRL-GHL",21,"Atlantic, Northwest","GRL","Greenland","GHL","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",1950,2015,66,6047.5,"Flounders, halibuts, soles","Low",0.0945648244981132
"21-GRL-GRC",21,"Atlantic, Northwest","GRL","Greenland","GRC","Gadus ogac","Gadus ogac","Greenland cod",1973,2015,43,1695,"Cods, hakes, haddocks","Medium",0.366660857387242
"21-GRL-ISC",21,"Atlantic, Northwest","GRL","Greenland","ISC","Chlamys islandica","Chlamys islandica","Iceland scallop",1984,2015,31,973,"Scallops, pectens","Low",0.277181819749999
"21-GRL-LUM",21,"Atlantic, Northwest","GRL","Greenland","LUM","Cyclopterus lumpus","Cyclopterus lumpus","Lumpfish(=Lumpsucker)",1967,2015,49,1211,"Miscellaneous coastal fishes","Low",0.264141148312727
"21-GRL-PRA",21,"Atlantic, Northwest","GRL","Greenland","PRA","Pandalus borealis","Pandalus borealis","Northern prawn",1950,2015,66,38976.5,"Shrimps, prawns","Medium",1.37600650623801
"21-GRL-SAL",21,"Atlantic, Northwest","GRL","Greenland","SAL","Salmo salar","Salmo salar","Atlantic salmon",1960,2015,54,291,"Miscellaneous diadromous fishes","Medium",0.578159608710751
"21-SPM-COD",21,"Atlantic, Northwest","SPM","St. Pierre and Miquelon","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,3109.5,"Cods, hakes, haddocks","Medium",0.270287991797001
"21-SPM-PLA",21,"Atlantic, Northwest","SPM","St. Pierre and Miquelon","PLA","Hippoglossoides platessoides","Hippoglossoides platessoides","Amer. plaice(=Long rough dab)",1955,2015,61,321,"Flounders, halibuts, soles","Low",0.210817512287924
"21-USA-ABS",21,"Atlantic, Northwest","USA","United States of America","ABS","Penaeus aztecus","Farfantepenaeus aztecus","Northern brown shrimp",1990,2015,26,704.5,"Shrimps, prawns","High",3.96206955002944
"21-USA-ALE",21,"Atlantic, Northwest","USA","United States of America","ALE","Alosa pseudoharengus","Alosa pseudoharengus","Alewife",1950,2015,66,4152.5,"Shads","Medium",0.804167865269516
"21-USA-ANG",21,"Atlantic, Northwest","USA","United States of America","ANG","Lophius americanus","Lophius americanus","American angler",1950,2015,66,2547.5,"Miscellaneous demersal fishes","Low",0.210344563779028
"21-USA-BLU",21,"Atlantic, Northwest","USA","United States of America","BLU","Pomatomus saltatrix","Pomatomus saltatrix","Bluefish",1950,2015,66,3012.5,"Miscellaneous pelagic fishes","Medium",0.378864828443736
"21-USA-BSB",21,"Atlantic, Northwest","USA","United States of America","BSB","Centropristis striata","Centropristis striata","Black seabass",1950,2015,66,1418,"Miscellaneous coastal fishes","Medium",0.584189845843711
"21-USA-CKA",21,"Atlantic, Northwest","USA","United States of America","CKA","Micropogonias undulatus","Micropogonias undulatus","Atlantic croaker",1950,2015,66,3533,"Miscellaneous demersal fishes","Medium",0.821091727450257
"21-USA-CLB",21,"Atlantic, Northwest","USA","United States of America","CLB","Spisula solidissima","Spisula solidissima","Atlantic surf clam",1950,2015,66,136459,"Clams, cockles, arkshells","High",0.210872587912527
"21-USA-CLH",21,"Atlantic, Northwest","USA","United States of America","CLH","Mercenaria mercenaria","Mercenaria mercenaria","Northern quahog(=Hard clam)",1950,2015,61,36303,"Clams, cockles, arkshells","High",0.654668282747565
"21-USA-CLQ",21,"Atlantic, Northwest","USA","United States of America","CLQ","Arctica islandica","Arctica islandica","Ocean quahog",1950,2015,66,119100,"Clams, cockles, arkshells","Very low",0.108294827471479
"21-USA-CLS",21,"Atlantic, Northwest","USA","United States of America","CLS","Mya arenaria","Mya arenaria","Sand gaper",1950,2015,66,12792,"Clams, cockles, arkshells","Medium",0.729250963129872
"21-USA-COD",21,"Atlantic, Northwest","USA","United States of America","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,19474,"Cods, hakes, haddocks","Medium",0.270287991797001
"21-USA-CRB",21,"Atlantic, Northwest","USA","United States of America","CRB","Callinectes sapidus","Callinectes sapidus","Blue crab",1950,2015,66,39635.5,"Crabs, sea-spiders","High",1.2501538383818
"21-USA-CRJ",21,"Atlantic, Northwest","USA","United States of America","CRJ","Cancer borealis","Cancer borealis","Jonah crab",1974,2015,42,1117,"Crabs, sea-spiders","High",NA
"21-USA-CRK",21,"Atlantic, Northwest","USA","United States of America","CRK","Cancer irroratus","Cancer irroratus","Atlantic rock crab",1950,2015,66,796,"Crabs, sea-spiders","High",NA
"21-USA-CRR",21,"Atlantic, Northwest","USA","United States of America","CRR","Chaceon quinquedens","Chaceon quinquedens","Red crab",1973,2015,42,1266.5,"Crabs, sea-spiders","High",1.2769215856271
"21-USA-FLD",21,"Atlantic, Northwest","USA","United States of America","FLD","Scophthalmus aquosus","Scophthalmus aquosus","Windowpane flounder",1974,2015,42,394.5,"Flounders, halibuts, soles","Medium",0.458081079440552
"21-USA-FLS",21,"Atlantic, Northwest","USA","United States of America","FLS","Paralichthys dentatus","Paralichthys dentatus","Summer flounder",1950,2015,66,6391,"Flounders, halibuts, soles","Medium",0.66081362399326
"21-USA-FLW",21,"Atlantic, Northwest","USA","United States of America","FLW","Pseudopleuronectes americanus","Pseudopleuronectes americanus","Winter flounder",1950,2015,66,7383.5,"Flounders, halibuts, soles","Medium",0.335817999116794
"21-USA-HAD",21,"Atlantic, Northwest","USA","United States of America","HAD","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",1950,2015,66,7567,"Cods, hakes, haddocks","Medium",0.354265019571743
"21-USA-HER",21,"Atlantic, Northwest","USA","United States of America","HER","Clupea harengus","Clupea harengus","Atlantic herring",1950,2015,66,60404,"Herrings, sardines, anchovies","Medium",0.250360616655768
"21-USA-HKR",21,"Atlantic, Northwest","USA","United States of America","HKR","Urophycis chuss","Urophycis chuss","Red hake",1950,2015,66,1589,"Cods, hakes, haddocks","Medium",0.314043762805167
"21-USA-HKS",21,"Atlantic, Northwest","USA","United States of America","HKS","Merluccius bilinearis","Merluccius bilinearis","Silver hake",1950,2015,66,16538,"Cods, hakes, haddocks","Medium",0.550216328731202
"21-USA-HKW",21,"Atlantic, Northwest","USA","United States of America","HKW","Urophycis tenuis","Urophycis tenuis","White hake",1950,2015,66,3202.5,"Cods, hakes, haddocks","Low",0.207190057658322
"21-USA-LBA",21,"Atlantic, Northwest","USA","United States of America","LBA","Homarus americanus","Homarus americanus","American lobster",1950,2015,66,18917.5,"Lobsters, spiny-rock lobsters","Medium",0.45642562038886
"21-USA-MAC",21,"Atlantic, Northwest","USA","United States of America","MAC","Scomber scombrus","Scomber scombrus","Atlantic mackerel",1950,2015,66,4607.5,"Tunas, bonitos, billfishes","Medium",0.287659477519624
"21-USA-MHA",21,"Atlantic, Northwest","USA","United States of America","MHA","Brevoortia tyrannus","Brevoortia tyrannus","Atlantic menhaden",1950,2015,66,263490.5,"Shads","Medium",0.599651277868469
"21-USA-MUS",21,"Atlantic, Northwest","USA","United States of America","MUS","Mytilus edulis","Mytilus edulis","Blue mussel",1950,2015,66,7295,"Clams, cockles, arkshells","Medium",0.266583915252952
"21-USA-OYA",21,"Atlantic, Northwest","USA","United States of America","OYA","Crassostrea virginica","Crassostrea virginica","American cupped oyster",1950,2015,66,84405.5,"Scallops, pectens","High",2.59635434293164
"21-USA-PLA",21,"Atlantic, Northwest","USA","United States of America","PLA","Hippoglossoides platessoides","Hippoglossoides platessoides","Amer. plaice(=Long rough dab)",1950,2015,66,2904,"Flounders, halibuts, soles","Low",0.210817512287924
"21-USA-POK",21,"Atlantic, Northwest","USA","United States of America","POK","Pollachius virens","Pollachius virens","Saithe(=Pollock)",1950,2015,66,7434,"Cods, hakes, haddocks","Medium",0.213934974123137
"21-USA-PRA",21,"Atlantic, Northwest","USA","United States of America","PRA","Pandalus borealis","Pandalus borealis","Northern prawn",1950,2015,66,2047.5,"Shrimps, prawns","Medium",1.37600650623801
"21-USA-SCA",21,"Atlantic, Northwest","USA","United States of America","SCA","Placopecten magellanicus","Placopecten magellanicus","American sea scallop",1950,2015,66,81484,"Scallops, pectens","Medium",0.503010925446164
"21-USA-SCB",21,"Atlantic, Northwest","USA","United States of America","SCB","Argopecten irradians","Argopecten irradians","Atlantic bay scallop",1950,2015,66,2641,"Scallops, pectens","High",2.59635434293164
"21-USA-SCP",21,"Atlantic, Northwest","USA","United States of America","SCP","Stenotomus chrysops","Stenotomus chrysops","Scup",1950,2015,66,6737,"Miscellaneous demersal fishes","Medium",0.340476988834111
"21-USA-SHA",21,"Atlantic, Northwest","USA","United States of America","SHA","Alosa sapidissima","Alosa sapidissima","American shad",1950,2015,66,1014.5,"Shads","Low",0.570636282099394
"21-USA-SPT",21,"Atlantic, Northwest","USA","United States of America","SPT","Leiostomus xanthurus","Leiostomus xanthurus","Spot croaker",1950,2015,66,1707.5,"Miscellaneous demersal fishes","High",1.08454328555199
"21-USA-SQI",21,"Atlantic, Northwest","USA","United States of America","SQI","Illex illecebrosus","Illex illecebrosus","Northern shortfin squid",1976,2015,40,9173.5,"Miscellaneous coastal fishes","High",1.0385929914259
"21-USA-SQL",21,"Atlantic, Northwest","USA","United States of America","SQL","Loligo pealeii","Doryteuthis pealeii","Longfin squid",1975,2015,41,12490,"Miscellaneous coastal fishes","High",1.09977163334516
"21-USA-STB",21,"Atlantic, Northwest","USA","United States of America","STB","Morone saxatilis","Morone saxatilis","Striped bass",1950,2015,66,2831.5,"Miscellaneous diadromous fishes","Low",0.188686624490056
"21-USA-STG",21,"Atlantic, Northwest","USA","United States of America","STG","Cynoscion regalis","Cynoscion regalis","Squeteague(=Gray weakfish)",1950,2015,66,2243.5,"Miscellaneous demersal fishes","Medium",0.350717285721347
"21-USA-TIL",21,"Atlantic, Northwest","USA","United States of America","TIL","Lopholatilus chamaeleonticeps","Lopholatilus chamaeleonticeps","Great Northern tilefish",1950,2015,66,900.5,"Miscellaneous demersal fishes","Low",0.144125944523611
"21-USA-USK",21,"Atlantic, Northwest","USA","United States of America","USK","Brosme brosme","Brosme brosme","Tusk(=Cusk)",1950,2015,66,933.5,"Cods, hakes, haddocks","Low",0.224228574775959
"21-USA-WIT",21,"Atlantic, Northwest","USA","United States of America","WIT","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","Witch flounder",1950,2015,66,2420,"Flounders, halibuts, soles","Low",0.224851030266693
"21-USA-YEL",21,"Atlantic, Northwest","USA","United States of America","YEL","Limanda ferruginea","Limanda ferruginea","Yellowtail flounder",1950,2015,66,8065.5,"Flounders, halibuts, soles","Medium",0.219156861681078
"27-BEL-BIB",27,"Atlantic, Northeast","BEL","Belgium","BIB","Trisopterus luscus","Trisopterus luscus","Pouting(=Bib)",1970,2015,46,500,"Cods, hakes, haddocks","Medium",0.800125710445419
"27-BEL-BLL",27,"Atlantic, Northeast","BEL","Belgium","BLL","Scophthalmus rhombus","Scophthalmus rhombus","Brill",1958,2015,58,326,"Flounders, halibuts, soles","Medium",0.676095997808932
"27-BEL-COD",27,"Atlantic, Northeast","BEL","Belgium","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,8506.5,"Cods, hakes, haddocks","Medium",0.270287991797001
"27-BEL-CSH",27,"Atlantic, Northeast","BEL","Belgium","CSH","Crangon crangon","Crangon crangon","Common shrimp",1950,2015,66,1100,"Shrimps, prawns","Low",0.586378042108406
"27-BEL-CTC",27,"Atlantic, Northeast","BEL","Belgium","CTC","Sepia officinalis","Sepia officinalis","Common cuttlefish",1991,2015,25,434,"Miscellaneous demersal fishes","High",1.18985641272492
"27-BEL-DAB",27,"Atlantic, Northeast","BEL","Belgium","DAB","Limanda limanda","Limanda limanda","Common dab",1950,2015,66,600,"Flounders, halibuts, soles","Medium",0.361263931139785
"27-BEL-DGS",27,"Atlantic, Northeast","BEL","Belgium","DGS","Squalus acanthias","Squalus acanthias","Picked dogfish",1950,2015,66,578,"Sharks, rays, chimaeras","Very low",0.14385276637056
"27-BEL-FLE",27,"Atlantic, Northeast","BEL","Belgium","FLE","Platichthys flesus","Platichthys flesus","European flounder",1950,2015,66,297,"Flounders, halibuts, soles","Medium",0.249598015844045
"27-BEL-HAD",27,"Atlantic, Northeast","BEL","Belgium","HAD","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",1950,2015,66,1311.5,"Cods, hakes, haddocks","Medium",0.354265019571743
"27-BEL-HER",27,"Atlantic, Northeast","BEL","Belgium","HER","Clupea harengus","Clupea harengus","Atlantic herring",1950,2015,66,400,"Herrings, sardines, anchovies","Medium",0.250360616655768
"27-BEL-LEM",27,"Atlantic, Northeast","BEL","Belgium","LEM","Microstomus kitt","Microstomus kitt","Lemon sole",1950,2015,66,884,"Flounders, halibuts, soles","Medium",0.226175919675425
"27-BEL-LIN",27,"Atlantic, Northeast","BEL","Belgium","LIN","Molva molva","Molva molva","Ling",1950,2015,66,349,"Cods, hakes, haddocks","Low",0.23314283849204
"27-BEL-MEG",27,"Atlantic, Northeast","BEL","Belgium","MEG","Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis","Megrim",1950,2015,66,254.5,"Flounders, halibuts, soles","Low",0.301679285534074
"27-BEL-NEP",27,"Atlantic, Northeast","BEL","Belgium","NEP","Nephrops norvegicus","Nephrops norvegicus","Norway lobster",1950,2015,66,475,"Lobsters, spiny-rock lobsters","Low",0.45642562038886
"27-BEL-PLE",27,"Atlantic, Northeast","BEL","Belgium","PLE","Pleuronectes platessa","Pleuronectes platessa","European plaice",1950,2015,66,6800,"Flounders, halibuts, soles","Medium",0.143922486594067
"27-BEL-POK",27,"Atlantic, Northeast","BEL","Belgium","POK","Pollachius virens","Pollachius virens","Saithe(=Pollock)",1950,2015,66,389,"Cods, hakes, haddocks","Medium",0.213934974123137
"27-BEL-SCE",27,"Atlantic, Northeast","BEL","Belgium","SCE","Pecten maximus","Pecten maximus","Great Atlantic scallop",1950,2015,66,395,"Scallops, pectens","High",1.15239165671636
"27-BEL-SOL",27,"Atlantic, Northeast","BEL","Belgium","SOL","Solea solea","Solea solea","Common sole",1950,2015,66,4350,"Flounders, halibuts, soles","Medium",0.285008417984232
"27-BEL-TUR",27,"Atlantic, Northeast","BEL","Belgium","TUR","Psetta maxima","Scophthalmus maximus","Turbot",1950,2015,66,400,"Flounders, halibuts, soles","Medium",0.348541495037062
"27-BEL-WHG",27,"Atlantic, Northeast","BEL","Belgium","WHG","Merlangius merlangus","Merlangius merlangus","Whiting",1950,2015,66,2969.5,"Cods, hakes, haddocks","Medium",0.471925193520377
"27-DEU-BLI",27,"Atlantic, Northeast","DEU","Germany","BLI","Molva dypterygia","Molva dypterygia","Blue ling",1950,2015,66,949,"Cods, hakes, haddocks","Low",0.228538430351296
"27-DEU-CAA",27,"Atlantic, Northeast","DEU","Germany","CAA","Anarhichas lupus","Anarhichas lupus","Atlantic wolffish",1950,2015,66,758,"Miscellaneous demersal fishes","Low",0.134972577812955
"27-DEU-COD",27,"Atlantic, Northeast","DEU","Germany","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,62668,"Cods, hakes, haddocks","Medium",0.270287991797001
"27-DEU-CSH",27,"Atlantic, Northeast","DEU","Germany","CSH","Crangon crangon","Crangon crangon","Common shrimp",1950,2015,66,18599,"Shrimps, prawns","Low",0.586378042108406
"27-DEU-DAB",27,"Atlantic, Northeast","DEU","Germany","DAB","Limanda limanda","Limanda limanda","Common dab",1950,2015,66,403,"Flounders, halibuts, soles","Medium",0.361263931139785
"27-DEU-ELE",27,"Atlantic, Northeast","DEU","Germany","ELE","Anguilla anguilla","Anguilla anguilla","European eel",1950,2015,66,376.5,"Miscellaneous demersal fishes","Low",0.24132537489808
"27-DEU-FLE",27,"Atlantic, Northeast","DEU","Germany","FLE","Platichthys flesus","Platichthys flesus","European flounder",1950,2015,66,2349.5,"Flounders, halibuts, soles","Medium",0.249598015844045
"27-DEU-FPE",27,"Atlantic, Northeast","DEU","Germany","FPE","Perca fluviatilis","Perca fluviatilis","European perch",1965,2015,51,500,"Miscellaneous demersal fishes","Low",0.471760290129143
"27-DEU-FPP",27,"Atlantic, Northeast","DEU","Germany","FPP","Sander lucioperca","Sander lucioperca","Pike-perch",1965,2015,51,312,"Miscellaneous coastal fishes","Low",0.452824515494706
"27-DEU-FRO",27,"Atlantic, Northeast","DEU","Germany","FRO","Rutilus rutilus","Rutilus rutilus","Roach",1965,2015,51,494,"Miscellaneous coastal fishes","Medium",0.270895856571287
"27-DEU-GHL",27,"Atlantic, Northeast","DEU","Germany","GHL","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",1950,2015,66,3857,"Flounders, halibuts, soles","Low",0.0945648244981132
"27-DEU-HAD",27,"Atlantic, Northeast","DEU","Germany","HAD","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",1950,2015,66,4448,"Cods, hakes, haddocks","Medium",0.354265019571743
"27-DEU-HAL",27,"Atlantic, Northeast","DEU","Germany","HAL","Hippoglossus hippoglossus","Hippoglossus hippoglossus","Atlantic halibut",1950,2015,66,393,"Flounders, halibuts, soles","Very low",0.116466518502922
"27-DEU-HER",27,"Atlantic, Northeast","DEU","Germany","HER","Clupea harengus","Clupea harengus","Atlantic herring",1950,2015,66,75041.5,"Herrings, sardines, anchovies","Medium",0.250360616655768
"27-DEU-HOM",27,"Atlantic, Northeast","DEU","Germany","HOM","Trachurus trachurus","Trachurus trachurus","Atlantic horse mackerel",1961,2015,55,7839,"Miscellaneous coastal fishes","Medium",0.391212690446964
"27-DEU-LIN",27,"Atlantic, Northeast","DEU","Germany","LIN","Molva molva","Molva molva","Ling",1950,2015,66,872.5,"Cods, hakes, haddocks","Low",0.23314283849204
"27-DEU-MAC",27,"Atlantic, Northeast","DEU","Germany","MAC","Scomber scombrus","Scomber scombrus","Atlantic mackerel",1950,2015,66,15746,"Tunas, bonitos, billfishes","Medium",0.287659477519624
"27-DEU-PLE",27,"Atlantic, Northeast","DEU","Germany","PLE","Pleuronectes platessa","Pleuronectes platessa","European plaice",1950,2015,66,4369.5,"Flounders, halibuts, soles","Medium",0.143922486594067
"27-DEU-POK",27,"Atlantic, Northeast","DEU","Germany","POK","Pollachius virens","Pollachius virens","Saithe(=Pollock)",1950,2015,66,26735.5,"Cods, hakes, haddocks","Medium",0.213934974123137
"27-DEU-SOL",27,"Atlantic, Northeast","DEU","Germany","SOL","Solea solea","Solea solea","Common sole",1950,2015,66,733.5,"Flounders, halibuts, soles","Medium",0.285008417984232
"27-DEU-SPR",27,"Atlantic, Northeast","DEU","Germany","SPR","Sprattus sprattus","Sprattus sprattus","European sprat",1950,2015,66,10520,"Herrings, sardines, anchovies","Medium",0.650798133846872
"27-DEU-TUR",27,"Atlantic, Northeast","DEU","Germany","TUR","Psetta maxima","Scophthalmus maximus","Turbot",1950,2015,66,300,"Flounders, halibuts, soles","Medium",0.348541495037062
"27-DEU-WHB",27,"Atlantic, Northeast","DEU","Germany","WHB","Micromesistius poutassou","Micromesistius poutassou","Blue whiting(=Poutassou)",1970,2015,46,7963,"Cods, hakes, haddocks","Medium",0.41375542251684
"27-DEU-WHG",27,"Atlantic, Northeast","DEU","Germany","WHG","Merlangius merlangus","Merlangius merlangus","Whiting",1950,2015,66,705.5,"Cods, hakes, haddocks","Medium",0.471925193520377
"27-DNK-CAA",27,"Atlantic, Northeast","DNK","Denmark","CAA","Anarhichas lupus","Anarhichas lupus","Atlantic wolffish",1950,2015,66,750,"Miscellaneous demersal fishes","Low",0.134972577812955
"27-DNK-COC",27,"Atlantic, Northeast","DNK","Denmark","COC","Cerastoderma edule","Cerastoderma edule","Common edible cockle",1988,2015,28,843,"Clams, cockles, arkshells","High",0.824133626714055
"27-DNK-COD",27,"Atlantic, Northeast","DNK","Denmark","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,68650,"Cods, hakes, haddocks","Medium",0.270287991797001
"27-DNK-CSH",27,"Atlantic, Northeast","DNK","Denmark","CSH","Crangon crangon","Crangon crangon","Common shrimp",1950,2015,66,1094,"Shrimps, prawns","Low",0.586378042108406
"27-DNK-DAB",27,"Atlantic, Northeast","DNK","Denmark","DAB","Limanda limanda","Limanda limanda","Common dab",1950,2015,66,3954.5,"Flounders, halibuts, soles","Medium",0.361263931139785
"27-DNK-DGS",27,"Atlantic, Northeast","DNK","Denmark","DGS","Squalus acanthias","Squalus acanthias","Picked dogfish",1955,2015,61,486,"Sharks, rays, chimaeras","Very low",0.14385276637056
