"type","class","order","family","genus","sci_name_orig","sci_name_fb","nstocks"
"finfish","Actinopterygii","Cypriniformes","Cyprinidae","Abramis","Abramis brama","Abramis brama",2
"finfish","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius brasilianus","Acanthistius brasilianus",1
"finfish","Actinopterygii","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Acanthocybium solandri",1
"finfish","Actinopterygii","Perciformes","Sparidae","Acanthopagrus","Acanthopagrus schlegeli","Acanthopagrus schlegelii",1
"invertebrate","Malacostraca","Decapoda","Sergestidae","Acetes","Acetes japonicus","Acetes japonicus",3
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Aequipecten","Aequipecten opercularis","Aequipecten opercularis",3
"finfish","Actinopterygii","Perciformes","Carangidae","Alectis","Alectis alexandrinus","Alectis alexandrina",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus","Alosa pseudoharengus",2
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima","Alosa sapidissima",2
"finfish","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes personatus","Ammodytes personatus",1
"invertebrate","Bivalvia","Arcoida","Arcidae","Tegillarca","Anadara granosa","Tegillarca granosa",3
"finfish","Actinopterygii","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus","Anarhichas lupus",4
"finfish","Actinopterygii","Perciformes","Anarhichadidae","Anarhichas","Anarhichas minor","Anarhichas minor",1
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Anchoa","Anchoa nasus","Anchoa nasus",1
"finfish","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","Anguilla anguilla",8
"finfish","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","Anguilla rostrata",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Anodontostoma","Anodontostoma chacunda","Anodontostoma chacunda",3
"finfish","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Anoplopoma fimbria",3
"finfish","Actinopterygii","Perciformes","Trichiuridae","Aphanopus","Aphanopus carbo","Aphanopus carbo",4
"finfish","Actinopterygii","Perciformes","Sparidae","Archosargus","Archosargus probatocephalus","Archosargus probatocephalus",1
"invertebrate","Bivalvia","Veneroida","Arcticidae","Arctica","Arctica islandica","Arctica islandica",2
"finfish","Actinopterygii","Perciformes","Trichodontidae","Arctoscopus","Arctoscopus japonicus","Arctoscopus japonicus",2
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Argopecten","Argopecten gibbus","Argopecten gibbus",1
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Argopecten","Argopecten irradians","Argopecten irradians",2
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Argopecten","Argopecten purpuratus","Argopecten purpuratus",1
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Argopecten","Argopecten ventricosus","Argopecten ventricosus",1
"finfish","Actinopterygii","Perciformes","Sparidae","Argyrops","Argyrops spinifer","Argyrops spinifer",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Argyrosomus","Argyrosomus hololepidotus","Argyrosomus hololepidotus",3
"finfish","Actinopterygii","Perciformes","Sciaenidae","Argyrosomus","Argyrosomus regius","Argyrosomus regius",3
"finfish","Actinopterygii","Perciformes","Sparidae","Argyrozona","Argyrozona argyrozona","Argyrozona argyrozona",1
"invertebrate","Malacostraca","Decapoda","Aristeidae","Aristeus","Aristeus antennatus","Aristeus antennatus",1
"invertebrate","Malacostraca","Decapoda","Aristeidae","Aristeus","Aristeus varidens","Aristeus varidens",1
"finfish","Actinopterygii","Siluriformes","Ariidae","Netuma","Arius thalassinus","Netuma thalassina",1
"finfish","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis georgianus","Arripis georgianus",1
"finfish","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis trutta","Arripis trutta",3
"invertebrate","Malacostraca","Decapoda","Penaeidae","Artemesia","Artemesia longinaris","Artemesia longinaris",1
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes evermanni","Atheresthes evermanni",2
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Atheresthes stomias",1
"finfish","Actinopterygii","Atheriniformes","Atherinidae","Atherina","Atherina boyeri","Atherina boyeri",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","Atractoscion aequidens","Atractoscion aequidens",1
