"areaid","fao_code","iso3","long_dd","lat_dd"
"27-GRL","27","GRL",-18.7828325234865,76.9033508995522
"27-IRL","27","IRL",-11.7543101352542,52.6515553548366
"27-ISL","27","ISL",-18.0136027697082,64.9466252827059
"27-JEY","27","JEY",-2.18773827390181,49.1244404356939
"27-LTU","27","LTU",20.3068439120666,55.7786411155382
"27-LVA","27","LVA",21.337071057172,57.1024341913921
"27-NLD","27","NLD",4.1668644521479,53.6531645047135
"27-NOR","27","NOR",14.0986706224823,68.2129086113796
"27-POL","27","POL",17.3100890322329,54.9415881048415
"27-PRT","27","PRT",-28.4396477412174,39.1247693876336
"27-RUS","27","RUS",50.0547488053852,77.1809730218051
"27-SJM","27","SJM",18.3082525963921,78.726104787282
"27-SWE","27","SWE",18.1284400767565,59.4157687432896
"31-ABW","31","ABW",-69.6751933026125,13.7339668007763
"31-AIA","31","AIA",-62.5434673250125,20.0166726388394
"31-ATG","31","ATG",-60.5754116351355,18.7271306656874
"31-BES","31","BES",-68.3681836551846,12.6998731092487
"31-BHS","31","BHS",-75.5930495603284,25.0973504606453
"31-BLM","31","BLM",-62.6295964223051,17.9332185765034
"31-BLZ","31","BLZ",-87.5889880095926,17.1836199453266
"31-BMU","31","BMU",-64.7720714698548,32.1523680477151
"31-BRA","31","BRA",-49.4303954740215,5.71389404113964
"31-BRB","31","BRB",-57.9970516393137,13.3219067037731
"31-COL","31","COL",-75.8674973657054,12.6887705884616
"31-CRI","31","CRI",-82.6268867226604,10.4227821524158
"31-CUB","31","CUB",-80.9325717658796,21.6061589915172
"31-CUW","31","CUW",-68.9720201742331,13.1458667499561
"31-CYM","31","CYM",-81.1385588316504,19.1542201569236
"31-DMA","31","DMA",-60.7372775661877,15.495784566436
"31-DOM","31","DOM",-69.7240001638503,19.0602439364056
"31-GLP","31","GLP",-59.8804671465497,16.7881136718596
"31-GRD","31","GRD",-62.0530783267142,12.2424541230488
"31-GTM","31","GTM",-88.5400150389138,15.9085196928991
"31-GUF","31","GUF",-51.7503861505448,6.76069271866838
"31-GUY","31","GUY",-57.6456121366226,8.66870193603595
"31-HND","31","HND",-83.8356738999504,16.9455763854225
"31-HTI","31","HTI",-73.7396758579569,17.9669886420549
"31-KNA","31","KNA",-62.8996814666435,16.9982520663307
"31-LCA","31","LCA",-61.098570454856,13.8784250865527
"31-MAF","31","MAF",-63.2024379779264,18.0343113615221
"31-MEX","31","MEX",-91.9217037961142,22.2709810696161
"31-MSR","31","MSR",-62.4796627318531,16.4175497726506
"31-MTQ","31","MTQ",-60.2195142359795,14.9676585113733
"31-NIC","31","NIC",-81.6540492313635,13.2505574493363
"31-PAN","31","PAN",-79.4453185207975,10.3949603547684
"31-PRI","31","PRI",-66.777065394904,18.1359561492754
"31-SUR","31","SUR",-54.7738994275152,7.59266412089781
"31-SXM","31","SXM",-63.1237698646108,17.9374375678759
"31-TCA","31","TCA",-70.8646451165542,22.7979790873468
"31-TTO","31","TTO",-60.0650791104009,10.9273817811592
"31-USA","31","USA",-84.2264180368229,28.9973923890027
"31-VCT","31","VCT",-61.689566442648,13.1586529288488
"31-VEN","31","VEN",-66.3372444212228,12.8711951347683
"31-VGB","31","VGB",-64.505112413122,20.3854133182521
"31-VIR","31","VIR",-64.9233627473021,17.2613443346645
"34-AGO","34","AGO",11.5233483630153,-5.63747168052499
"34-ASC","34","ASC",-14.3723079964986,-5.40354975527649
"34-BEN","34","BEN",2.4229422935807,4.82130381153666
"34-BRA","34","BRA",-28.2157196894827,1.91038797952387
"34-CIV","34","CIV",-5.45751653370333,3.2959976219999
"34-CMR","34","CMR",9.31179182023198,3.42676630774412
"34-COD","34","COD",12.1121515113862,-5.93932040615628
"34-COG","34","COG",10.8263672007455,-5.13772525554665
"34-CPV","34","CPV",-24.1709818359002,16.0909960084775
"34-ESH","34","ESH",-17.6984467443309,23.3424655511055
"34-ESP","34","ESP",-17.5823262765819,28.3667485098479
"34-GAB","34","GAB",8.72807969689897,-3.04307931876859
"34-GHA","34","GHA",-0.849766978712002,3.4935982442744
"34-GIN","34","GIN",-15.6333435605697,9.17303586941616
"34-GMB","34","GMB",-18.4271967403661,13.327057548471
"34-GNB","34","GNB",-17.5638064899445,10.5818914135136
"34-GNQ","34","GNQ",4.73815315021043,-2.19264438336426
"34-LBR","34","LBR",-10.1779146953342,3.799792363926
"34-MAR","34","MAR",-10.3045230913709,32.582884065503
"34-MRT","34","MRT",-17.9191424373902,18.253343080077
"34-NGA","34","NGA",4.81127550208264,4.06743657165666
"34-PRT","34","PRT",-16.826581246528,33.077428299332
"34-SEN","34","SEN",-18.6912996002727,11.7375905604664
"34-SLE","34","SLE",-14.1428178955017,6.63523731203949
"34-STP","34","STP",6.1964014819676,1.04459081093861
"34-TGO","34","TGO",1.82304670264403,4.63269237344735
"51-ARE","51","ARE",53.7824488839296,25.0271250730945
"51-ATF","51","ATF",76.9123983319354,-38.2896989724104
"51-BHR","51","BHR",50.6908770245694,26.3077934465712
"51-COM","51","COM",43.4539256902194,-11.4260513771566
"51-DJI","51","DJI",43.4403147145442,11.9969854972829
"51-EGY","51","EGY",35.053253650702,25.8180229632899
"51-ERI","51","ERI",40.5961494776641,15.8128640254348
"51-IND","51","IND",71.5345572316967,14.195342830516
"51-IOT","51","IOT",71.9498318752686,-6.58335791594271
"51-IRN","51","IRN",54.9563746770979,26.5491645237973
"51-IRQ","51","IRQ",48.5925884822483,29.7565761462094
"51-JOR","51","JOR",34.9415411150885,29.4302558061818
"51-KEN","51","KEN",42.439386527087,-3.15091265941148
"51-KWT","51","KWT",48.5951128653671,29.2310675491402
"51-MDG","51","MDG",47.0730861886213,-20.2088267156968
"51-MDV","51","MDV",73.0794405350929,2.45224429544864
"51-MOZ","51","MOZ",37.9557112984723,-20.3857753819346
"51-MUS","51","MUS",60.1136333676475,-16.8167485199009
"51-MYT","51","MYT",45.3035334163124,-13.2139218466939
"51-OMN","51","OMN",58.7004629302458,18.8492577435898
"51-PAK","51","PAK",64.6934666196342,23.5325803970379
"51-QAT","51","QAT",51.9139027146227,25.9072550361001
"51-REU","51","REU",54.6985055564407,-19.0193503334077
"51-SAU","51","SAU",38.7538016633613,21.4929779836344
"51-SDN","51","SDN",37.8382938634559,20.4431890657948
"51-SOM","51","SOM",48.7219772765891,5.37800260044628
"51-SYC","51","SYC",52.4678635732256,-6.54751174857011
"51-TZA","51","TZA",41.1533860506256,-7.18970243732374
"51-YEM","51","YEM",52.0701661844665,12.8853993826014
"51-ZAF","51","ZAF",32.8563919409064,-30.7997051091471
"57-ATF","57","ATF",80.7702222512671,-38.3176914319516
"57-AUS","57","AUS",127.213448158838,-31.2128681667901
"57-BGD","57","BGD",90.5798556007252,20.4313243909083
"57-CCK","57","CCK",96.854342868404,-12.0314529958422
"57-CXR","57","CXR",105.365416858829,-11.2433999748222
"57-IDN","57","IDN",107.281128867058,-5.54897443458929
"57-IND","57","IND",92.1982649818615,9.99132397714012
"57-LKA","57","LKA",81.5333849490121,6.66496173404752
"57-MDV","57","MDV",77.0413797176762,3.69569994219453
"57-MMR","57","MMR",94.6708530342984,14.9709969353051
"57-MYS","57","MYS",99.7678493609668,4.91600696985537
"57-THA","57","THA",97.5193102714001,7.97451734077079
"57-TLS","57","TLS",126.811237966769,-9.77148214953583
"71-AUS","71","AUS",146.776694347948,-16.5063600854538
"71-BRN","71","BRN",113.384398033099,6.06185818866925
"71-CHN","71","CHN",114.126113506301,12.4108375877246
"71-FJI","71","FJI",176.553349668436,-17.6321703452584
"71-FSM","71","FSM",157.96256125325,6.7834248125102
"71-GUM","71","GUM",144.004650668128,12.9309282901954
"71-IDN","71","IDN",123.207132967123,-2.22084131134856
"71-JPN","71","JPN",136.088858221072,18.7682105885323
"71-KHM","71","KHM",102.542063091967,10.2242375065057
"71-KIR","71","KIR",173.869191380323,-0.251449825432611
"71-MNP","71","MNP",145.939495833573,16.8482910059545
"71-MYS","71","MYS",111.539776476658,4.3521733724484
"71-NCL","71","NCL",165.312636597813,-21.5949543317314
"71-NRU","71","NRU",166.124025158596,-0.591116146387137
"71-PHL","71","PHL",122.210312872084,11.7511768564434
"71-PLW","71","PLW",133.068016524132,6.44114679542339
"71-PNG","71","PNG",150.726275796549,-5.46860664382969
"71-SGP","71","SGP",103.833720963635,1.26960930927305
"71-SLB","71","SLB",163.617411254998,-10.0300276697449
"71-THA","71","THA",101.01862960793,9.94413573749338
"71-TKL","71","TKL",-175.38602491925,-8.79866576892875
"71-TON","71","TON",-176.29749384807,-20.5609154834657
"71-TUV","71","TUV",176.94340989849,-7.42854213730337
"71-TWN","71","TWN",116.579805609607,18.8595704039919
"71-UMI","71","UMI",-177.296648260482,0.737412288187188
"71-VNM","71","VNM",108.782534256255,9.96058604703363
"71-VUT","71","VUT",168.552630767225,-16.5875021150111
"71-WLF","71","WLF",-177.156300830266,-12.8440846249895
"87-ARG","87","ARG",-66.2944602648683,-55.303778255404
"87-CHL","87","CHL",-75.6632786546189,-40.8854528855725
"87-COL","87","COL",-80.7379982888557,3.64189609290425
"87-CRI","87","CRI",-87.1425775067458,3.80868146367995
"87-ECU","87","ECU",-90.8321550400427,-0.0481152504471939
"87-PAN","87","PAN",-79.7621263893829,5.16681943079738
"87-PER","87","PER",-78.9170507752301,-11.8318513261271
"41-ARG","41","ARG",-62.1572304828553,-47.0988900600141
"41-ATA","41","ATA",-56.0641746434486,-59.0450942050376
"41-BRA","41","BRA",-29.0964376142061,-20.5027598105764
"41-CHL","41","CHL",-69.0062632722205,-52.4397256997805
"41-FLK","41","FLK",-58.3458062529419,-51.6686169926995
"41-GUF","41","GUF",-51.7563110533208,4.77968012222903
"41-URY","41","URY",-53.5960395646334,-35.8980331834213
"81-AUS","81","AUS",155.971616100931,-33.2970344991843
"81-COK","81","COK",-157.912130638628,-25.1233033347791
"81-FJI","81","FJI",174.774637895834,-25.0413323033184
"81-NCL","81","NCL",168.696213456623,-25.4332661503259
"81-NFK","81","NFK",167.928984845444,-29.0931306185127
"81-NZL","81","NZL",172.061579684348,-43.8695017361662
"81-PCN","81","PCN",-127.519048491502,-26.4557595882411
"81-PYF","81","PYF",-145.185954522562,-27.5141706168758
"81-TON","81","TON",-176.206288764712,-25.2811740861656
"58-ATA","58","ATA",89.2708117804049,-65.3932287432072
"58-ATF","58","ATF",68.981035304471,-48.8833557690687
"58-HMD","58","HMD",73.7302757702096,-53.4983594136611
"58-ZAF","58","ZAF",37.7818256794447,-47.4094679556004
"48-ATA","48","ATA",-38.080095174041,-70.596104046534
"48-BVT","48","BVT",3.3555737562512,-54.455630830348
"48-SGS","48","SGS",-31.581830942271,-56.4496924418649
