"areaid","fao_code","iso3","long_dd","lat_dd"
"88-ATA","88","ATA",-128.570990369274,-74.3753807686001
"77-ASM","77","ASM",-169.06416443578,-13.8550867246379
"77-COK","77","COK",-161.315998338846,-14.980274877221
"77-COL","77","COL",-78.2771946247615,6.78931455066512
"77-CPT","77","CPT",-109.217281712832,10.3086882969431
"77-CRI","77","CRI",-86.7191534697296,7.53728442765593
"77-ECU","77","ECU",-91.9988888889794,5.01266376969227
"77-GTM","77","GTM",-92.1612552695455,12.4842756643618
"77-HND","77","HND",-87.5523996627302,13.2192086523502
"77-KIR","77","KIR",-154.727289668955,-3.81939575199899
"77-MEX","77","MEX",-110.095503397459,21.0314255776493
"77-NIC","77","NIC",-87.7713260677133,11.366798275509
"77-NIU","77","NIU",-169.331852763472,-19.5227887921075
"77-PAN","77","PAN",-81.0409254583291,6.68117156471196
"77-PCN","77","PCN",-127.342962464185,-23.1233655420326
"77-PYF","77","PYF",-140.765411073973,-17.8106308561805
"77-SLV","77","SLV",-89.7468354882496,11.8455954707678
"77-TKL","77","TKL",-171.807966010828,-8.61902158003902
"77-TON","77","TON",-173.474152842169,-19.6156699634596
"77-UMI","77","UMI",-169.506117256694,16.7510908780259
"77-USA","77","USA",-163.275432511358,22.9747005448927
"77-WLF","77","WLF",-174.702394224296,-12.3083811045977
"77-WSM","77","WSM",-172.741256875791,-13.3064474963432
"47-AGO","47","AGO",11.0257512179355,-11.8937551274553
"47-ASC","47","ASC",-14.3617146894373,-8.41974592701567
"47-COD","47","COD",10.5123674515061,-6.47190806479076
"47-COG","47","COG",9.49926407734981,-6.27738458036937
"47-GAB","47","GAB",8.88889704032191,-6.15126402775885
"47-NAM","47","NAM",12.283836081867,-23.6533567226691
"47-SHN","47","SHN",-5.70869010412825,-15.9727754449372
"47-TAA","47","TAA",-11.3358142507074,-39.067987570007
"47-ZAF","47","ZAF",20.9747205249093,-34.6261214019624
"21-BMU","21","BMU",-64.6890061509173,35.2950827014258
"21-CAN","21","CAN",-60.7739148033939,56.6203788228249
"21-GRL","21","GRL",-56.9637850496196,67.6389284766148
"21-SPM","21","SPM",-56.3863029388911,45.8779787177599
"21-USA","21","USA",-71.125690270279,39.3021567909659
"18-CAN","18","CAN",-99.9670348922592,74.0241961580172
"18-GRL","18","GRL",-51.3248766553017,84.135251492987
"18-RUS","18","RUS",116.216745345814,76.9554683032566
"18-USA","18","USA",-156.845171612612,71.499850853441
"61-CHN","61","CHN",117.668617764045,26.8265324555344
"61-JPN","61","JPN",137.445431360336,32.0420095464672
"61-KOR","61","KOR",127.080159020239,34.4832806141304
"61-MNP","61","MNP",145.290755169591,21.5031515401403
"61-PHL","61","PHL",122.965839791322,20.8134944138284
"61-PRK","61","PRK",130.165987405299,40.1684811857165
"61-RUS","61","RUS",154.564317935426,53.2653302586468
"61-TWN","61","TWN",120.526033707532,23.2774114098357
"61-UMI","61","UMI",166.622779909547,21.117104986384
"61-USA","61","USA",174.976559528495,52.0503070794036
"61-VNM","61","VNM",108.67320308774,17.4457748360126
"67-CAN","67","CAN",-131.244008937087,50.859832823003
"67-RUS","67","RUS",-172.37060833277,64.5307692228236
"67-USA","67","USA",-159.521337218427,56.6345353756514
"37-ALB","37","ALB",19.1092604204415,40.9281955576731
"37-BGR","37","BGR",29.20170141547,42.9334953081415
"37-BIH","37","BIH",17.5909311804742,42.9163012810639
"37-CYP","37","CYP",32.686028552538,34.5373751477248
"37-DZA","37","DZA",3.53884934330109,37.2044189821894
"37-EGY","37","EGY",31.90756611,31.5258294866667
"37-ESP","37","ESP",2.02575988016457,39.2190531993982
"37-FRA","37","FRA",6.96643764221555,42.4777915613362
"37-GEO","37","GEO",40.5552907840475,42.4443166666996
"37-GIB","37","GIB",-5.21937490991679,36.0885146117294
"37-GRC","37","GRC",23.9694504102765,36.538589377699
"37-HRV","37","HRV",15.6453212850069,43.4591448314031
"37-ISR","37","ISR",34.095937631445,32.6155310085954
"37-ITA","37","ITA",12.8162477144897,39.5866423475378
"37-LBN","37","LBN",34.9013189469354,33.9092118116434
"37-LBY","37","LBY",18.4983464568241,33.1447151014192
"37-MAR","37","MAR",-3.66503202941306,35.5169299228521
"37-MCO","37","MCO",7.58754501952017,43.3483471743122
"37-MLT","37","MLT",15.1059916754777,35.3171695789947
"37-MNE","37","MNE",18.6804474328874,41.8606327323669
"37-PSE","37","PSE",34.0593421540076,31.6700337715331
"37-ROU","37","ROU",30.0793574285913,44.2399830732275
"37-RUS","37","RUS",38.0075563264976,43.6190200973827
"37-SVN","37","SVN",13.6037891526389,45.5651724553872
"37-SYR","37","SYR",35.4953498339926,35.3301466494156
"37-TUN","37","TUN",11.0518510570953,35.9885836532335
"37-TUR","37","TUR",34.6437083645517,42.1477733156034
"37-UKR","37","UKR",33.6448707921447,44.9390024833897
"27-BEL","27","BEL",2.70351621663824,51.466976489716
"27-DEU","27","DEU",6.78153789830823,54.5929000293365
"27-DNK","27","DNK",8.8384765419602,56.183093860228
"27-ESP","27","ESP",-9.23398965262515,44.0789858865348
"27-EST","27","EST",22.9347943048945,58.741401331006
"27-FIN","27","FIN",21.8540276196211,61.7150715527258
"27-FRA","27","FRA",-4.71463394646791,47.1367850919265
"27-FRO","27","FRO",-7.00043001325559,62.6047691268169
"27-GBR","27","GBR",-3.92611642363391,56.1812763438434
"27-GGY","27","GGY",-2.65640704461718,49.6377346589816
