"stockid","areaid","fao_code","fao_area","iso3","country","spp_code","sci_name_orig","sci_name_fb","comm_name","year1","year2","nyr","tl_mt_median","lh_catg","resilience","m","long_dd","lat_dd","yr_full","yr_over","yr_collapse"
"21-CAN-DGS","21-CAN",21,"Atlantic, Northwest","CAN","Canada","DGS","Squalus acanthias","Squalus acanthias","Picked dogfish",1974,2015,42,410,"Sharks, rays, chimaeras","Very low",0.14385276637056,-60.7739148033939,56.6203788228249,1984,NA,NA
"21-CAN-ELA","21-CAN",21,"Atlantic, Northwest","CAN","Canada","ELA","Anguilla rostrata","Anguilla rostrata","American eel",1956,2015,60,477,"Miscellaneous demersal fishes","Medium",0.200780187073048,-60.7739148033939,56.6203788228249,1978,2001,NA
"21-CAN-FLW","21-CAN",21,"Atlantic, Northwest","CAN","Canada","FLW","Pseudopleuronectes americanus","Pseudopleuronectes americanus","Winter flounder",1950,2015,66,2508,"Flounders, halibuts, soles","Medium",0.335817999116794,-60.7739148033939,56.6203788228249,1970,2001,NA
"21-CAN-GHL","21-CAN",21,"Atlantic, Northwest","CAN","Canada","GHL","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",1961,2015,55,14623,"Flounders, halibuts, soles","Low",0.0945648244981132,-60.7739148033939,56.6203788228249,1997,NA,NA
"21-CAN-HAD","21-CAN",21,"Atlantic, Northwest","CAN","Canada","HAD","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",1950,2015,66,26912,"Cods, hakes, haddocks","Medium",0.354265019571743,-60.7739148033939,56.6203788228249,1961,1991,NA
"21-CAN-HAL","21-CAN",21,"Atlantic, Northwest","CAN","Canada","HAL","Hippoglossus hippoglossus","Hippoglossus hippoglossus","Atlantic halibut",1950,2015,66,2255.5,"Flounders, halibuts, soles","Very low",0.116466518502922,-60.7739148033939,56.6203788228249,NA,NA,NA
"21-CAN-HER","21-CAN",21,"Atlantic, Northwest","CAN","Canada","HER","Clupea harengus","Clupea harengus","Atlantic herring",1950,2015,66,185225,"Herrings, sardines, anchovies","Medium",0.250360616655768,-60.7739148033939,56.6203788228249,1969,NA,NA
"21-CAN-HKS","21-CAN",21,"Atlantic, Northwest","CAN","Canada","HKS","Merluccius bilinearis","Merluccius bilinearis","Silver hake",1974,2015,42,1911,"Cods, hakes, haddocks","Medium",0.550216328731202,-60.7739148033939,56.6203788228249,2006,NA,NA
"21-CAN-HKW","21-CAN",21,"Atlantic, Northwest","CAN","Canada","HKW","Urophycis tenuis","Urophycis tenuis","White hake",1950,2015,66,9500,"Cods, hakes, haddocks","Low",0.207190057658322,-60.7739148033939,56.6203788228249,1964,NA,NA
"21-CAN-ISC","21-CAN",21,"Atlantic, Northwest","CAN","Canada","ISC","Chlamys islandica","Chlamys islandica","Iceland scallop",1992,2015,24,1168,"Scallops, pectens","Low",0.277181819749999,-60.7739148033939,56.6203788228249,1992,1998,NA
"21-CAN-LBA","21-CAN",21,"Atlantic, Northwest","CAN","Canada","LBA","Homarus americanus","Homarus americanus","American lobster",1950,2015,66,25577.5,"Lobsters, spiny-rock lobsters","Medium",NA,-60.7739148033939,56.6203788228249,NA,NA,NA
"21-CAN-MAC","21-CAN",21,"Atlantic, Northwest","CAN","Canada","MAC","Scomber scombrus","Scomber scombrus","Atlantic mackerel",1950,2015,66,16866.5,"Tunas, bonitos, billfishes","Medium",0.287659477519624,-60.7739148033939,56.6203788228249,1994,NA,NA
"21-CAN-OYA","21-CAN",21,"Atlantic, Northwest","CAN","Canada","OYA","Crassostrea virginica","Crassostrea virginica","American cupped oyster",1950,2015,66,1705,"Scallops, pectens","High",2.59635434293164,-60.7739148033939,56.6203788228249,1950,1979,NA
"21-CAN-PLA","21-CAN",21,"Atlantic, Northwest","CAN","Canada","PLA","Hippoglossoides platessoides","Hippoglossoides platessoides","Amer. plaice(=Long rough dab)",1950,2015,66,35009.5,"Flounders, halibuts, soles","Low",0.210817512287924,-60.7739148033939,56.6203788228249,1971,NA,NA
"21-CAN-POK","21-CAN",21,"Atlantic, Northwest","CAN","Canada","POK","Pollachius virens","Pollachius virens","Saithe(=Pollock)",1950,2015,66,19800,"Cods, hakes, haddocks","Medium",0.213934974123137,-60.7739148033939,56.6203788228249,1982,1992,NA
"21-CAN-PRA","21-CAN",21,"Atlantic, Northwest","CAN","Canada","PRA","Pandalus borealis","Pandalus borealis","Northern prawn",1979,2015,37,48310,"Shrimps, prawns","Medium",NA,-60.7739148033939,56.6203788228249,1986,NA,NA
"21-CAN-SAL","21-CAN",21,"Atlantic, Northwest","CAN","Canada","SAL","Salmo salar","Salmo salar","Atlantic salmon",1950,2015,66,1254,"Miscellaneous diadromous fishes","Medium",0.578159608710751,-60.7739148033939,56.6203788228249,1953,1992,NA
"21-CAN-SCA","21-CAN",21,"Atlantic, Northwest","CAN","Canada","SCA","Placopecten magellanicus","Placopecten magellanicus","American sea scallop",1950,2015,66,59053.5,"Scallops, pectens","Medium",0.503010925446164,-60.7739148033939,56.6203788228249,1957,NA,NA
"21-CAN-SMR","21-CAN",21,"Atlantic, Northwest","CAN","Canada","SMR","Osmerus mordax","Osmerus mordax","Rainbow smelt",1950,2015,66,1398,"Miscellaneous pelagic fishes","Medium",0.657324019779988,-60.7739148033939,56.6203788228249,1973,2011,NA
"21-CAN-SQI","21-CAN",21,"Atlantic, Northwest","CAN","Canada","SQI","Illex illecebrosus","Illex illecebrosus","Northern shortfin squid",1950,2015,66,2172,"Miscellaneous coastal fishes","High",1.0385929914259,-60.7739148033939,56.6203788228249,1950,2010,NA
