"assessid","stockid","stocklong","country","region","area","lat_dd","long_dd","area_sqkm","common_name","sci_name","yr1","yr2","nyr","collapse","nyrs.collapsed","yr.1st.collapse"
"NIWA-AUSSALMONNZ-1929-2013-FU","AUSSALMONNZ","Australian salmon New Zealand","New Zealand","New Zealand","New Zealand",-34.3891842427581,175.620441792915,239600.935298105,"Australian salmon","Arripis trutta",1929,2013,85,"no",0,Inf
"NWFSC-DKROCKPCOAST-1928-2011-STACHURA","DKROCKPCOAST","Darkblotched rockfish Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Darkblotched rockfish","Sebastes crameri",1928,2011,84,"no",0,Inf
"NZMFishINSHOREWG-NZSNAPNZ7-1931-2014-LANGLEY","NZSNAPNZ7","New Zealand snapper New Zealand SNA 7","New Zealand","New Zealand","New Zealand SNA 7",-41.5512034954411,168.669628975536,334089.318664298,"New Zealand snapper","Chrysophrys auratus",1931,2014,84,"yes",20,1987
"SEFSC-KMACKGM-1929-2012-HIVELY","KMACKGM","King mackerel Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.855909181,"King Mackerel","Scomberomorus cavalla",1929,2012,84,"no",0,Inf
"ICCAT-ALBANATL-1930-2015-PONS","ALBANATL","Albacore tuna North Atlantic","multinational","Atlantic Ocean","Northern Atlantic",48.7275995704969,-22.6044584324185,48163510.6864972,"Albacore tuna","Thunnus alalunga",1930,2011,82,"no",0,Inf
"NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","LINGCODNPCOAST","Lingcod Northern Pacific Coast","USA","US West Coast","Northern Pacific Coast",45.0227270720632,-126.306278943629,247654.500668066,"Lingcod","Ophiodon elongatus",1928,2009,82,"no",0,Inf
"NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","LINGCODSPCOAST","Lingcod Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast",37.1415722924399,-122.979861063252,255841.438787882,"Lingcod","Ophiodon elongatus",1928,2009,82,"no",0,Inf
"PFMC-PSOLEPCOAST-1930-2011-CHING","PSOLEPCOAST","Petrale sole Pacific Coast","USA","US West Coast","Pacific Coast",33.0720325333246,-119.456713828192,91849.8244958058,"Petrale sole","Eopsetta jordani",1930,2011,82,"no",0,Inf
"PFMC-BOCACCSPCOAST-1930-2009-CHING","BOCACCSPCOAST","Bocaccio Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast",37.9804018540134,-123.573458607119,298740.406308336,"Bocaccio","Sebastes paucispinis",1930,2009,80,"no",0,Inf
"SWFSC-CMACKPCOAST-1929-2008-PINSKY","CMACKPCOAST","Pacific chub mackerel Pacific Coast","USA","US West Coast","Pacific Coast",45.0227270720632,-126.306278943629,247654.500668066,"Pacific chub mackerel","Scomber japonicus",1929,2008,80,"yes",5,1965
"DFO-PAC-BOCACCBCW-1935-2012-CHING","BOCACCBCW","Bocaccio British Columbia Waters","Canada","Canada West Coast","British Columbia Waters",51.3851295517415,-128.465271694786,135836.455887546,"Bocaccio","Sebastes paucispinis",1935,2012,78,"yes",20,1993
"NZMFishINSHOREWG-BNSNZ-1935-2011-CORDUE","BNSNZ","Bluenose New Zealand","New Zealand","New Zealand","New Zealand",-43.8819690535194,172.064787635384,2517332.34295159,"Bluenose","Hyperoglyphe antarctica",1935,2011,77,"no",0,Inf
"NIWA-TARAKNZ-1932-2007-CORDUE","TARAKNZ","Tarakihi New Zealand","New Zealand","New Zealand","Sub-Antarctic",-41.5512034954411,168.669628975536,334089.318664298,"Tarakihi","Nemadactylus macropterus",1932,2007,76,"no",0,Inf
"NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN","NZSNAPNZ8","New Zealand snapper New Zealand Area 8","New Zealand","New Zealand","New Zealand Area 8 (Auckland and Central West)",-35.3477344315658,171.533783259641,382641.691164707,"New Zealand snapper","Chrysophrys auratus",1931,2005,75,"no",0,Inf
"DFO-PERCHQCI-1939-2013-WATSON","PERCHQCI","Pacific Ocean perch Queen Charlotte Islands","Canada","Canada West Coast","Queen Charlotte Islands",51.7430580545566,-130.217051527728,94728.1669821217,"Pacific Ocean perch","Sebastes alutus",1940,2013,74,"no",0,Inf
"DFO-PERCHWCVANI-1939-2013-WATSON","PERCHWCVANI","Pacific Ocean perch West Coast of Vancouver Island","Canada","Canada West Coast","West Coast of Vancouver Island",49.0161576350977,-129.933625394439,178610.899749574,"Pacific Ocean perch","Sebastes alutus",1940,2013,74,"no",0,Inf
"NWFSC-POPERCHPCOAST-1940-2011-STACHURA","POPERCHPCOAST","Pacific ocean perch Pacific Coast","USA","US West Coast","Pacific Coast",33.0720325333246,-119.456713828192,91849.8244958058,"Pacific ocean perch","Sebastes alutus",1940,2011,72,"no",0,Inf
"NZMFishINSHOREWG-TREVALLYTRE7-1944-2014-LANGLEY","TREVALLYTRE7","Trevally New Zealand Areas TRE 7","New Zealand","New Zealand","New Zealand Areas TRE 7",-37.1023126812281,173.447124155507,68750.9760830739,"Trevally","Pseudocaranx dentex",1944,2014,71,"no",0,Inf
"DFO-PAC-RSOLE5AB-1944-2014-OSGOOD","RSOLE5AB","Rock sole Queen Charlotte Sound","Canada","Canada West Coast","Queen Charlotte Sound",51.239012749019,-132.113569484655,109179.123208211,"Rock sole","Lepidopsetta bilineata",1945,2014,70,"no",0,Inf
"DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD","RSOLEHSTR","Rock sole Hecate Strait","Canada","Canada West Coast","Hecate Strait",53.0910311356626,-133.460542402941,146949.829107123,"Rock sole","Lepidopsetta bilineata",1945,2014,70,"no",0,Inf
"SEFSC-VSNAPSATLC-1945-2012-HIVELY","VSNAPSATLC","Vermilion snapper Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.1877602345803,-78.3029264602483,335331.056542966,"Vermilion snapper","Rhomboplites aurorubens",1946,2012,67,"no",0,Inf
"DFO-CROCKWCVANISOGQCI-1945-2009-STANTON","CROCKWCVANISOGQCI","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada","Canada West Coast","West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands",51.3851295517415,-128.465271694786,135836.455887546,"Canary rockfish","Sebastes pinniger",1945,2009,65,"no",0,Inf
"ICCAT-SKJWATL-1950-2014-PONS","SKJWATL","Skipjack tuna Western Atlantic","multinational","Atlantic Ocean","Western Atlantic",-1.72159711380579,-51.290886171501,62575742.6455979,"Skipjack tuna","Katsuwonus pelamis",1950,2014,65,"no",0,Inf
"MARAM-CTRACSA-1949-2013-Furman","CTRACSA","Cape horse mackerel South Africa South coast","South Africa","South Africa","South Africa South coast",-35.997707815232,23.3115315219206,233924.846759294,"Cape horse mackerel","Trachurus capensis",1949,2013,65,"no",0,Inf
"AFSC-TANNERCRABBSAI-1949-2013-HIVELY","TANNERCRABBSAI","Tanner crab Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",57.3939056214406,-168.441303581785,289297.925734838,"Tanner crab","Chionoecetes bairdi",1949,2012,64,"yes",5,1949
"CCSBT-SC-SBT-1952-2014-PONS","SBT","Southern bluefin tuna Southern Oceans","multinational","Indian Ocean","Southern Oceans",-37.2177912419797,68.8528164971059,53901675.8105102,"Southern bluefin tuna","Thunnus maccoyii",1952,2014,63,"no",0,Inf
"CSIRO-SWHITSE-1945-2007-FULTON","SWHITSE","School whiting Southeast Australia","Australia","Australia","Southeast Australia",-37.8267786927814,144.001498627495,364307.922002872,"School whiting","Sillago flindersi",1945,2007,63,"no",0,Inf
"ICCAT-ATBTUNAEATL-1950-2015-PONS","ATBTUNAEATL","Bluefin tuna Eastern Atlantic","multinational","Atlantic Ocean","Eastern Atlantic",19.8472858925909,-3.49122597378675,54110640.7699108,"Atlantic bluefin tuna","Thunnus thynnus",1950,2012,63,"no",0,Inf
"ICCAT-SWORDNATL-1950-2015-PONS","SWORDNATL","Swordfish North Atlantic","multinational","Atlantic Ocean","Northern Atlantic",48.7275995704969,-22.6044584324185,48163510.6864972,"Swordfish","Xiphias gladius",1950,2012,63,"no",0,Inf
"IOTC-ALBAIO-1950-2014-PONS","ALBAIO","Albacore tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean",-22.4379829118111,82.0285510874439,60407235.0420866,"albacore tuna","Thunnus alalunga",1950,2012,63,"no",0,Inf
"IOTC-SWORDIO-1950-2014-PONS","SWORDIO","Swordfish Indian Ocean","multinational","Indian Ocean","Indian Ocean",-14.9001341925746,76.2470365770596,48951560.0265696,"swordfish","Xiphias gladius",1950,2012,63,"no",0,Inf
"SEFSC-SPANMACKSATLC-1950-2012-HIVELY","SPANMACKSATLC","Spanish mackerel Southern Atlantic Coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.7713994916115,-77.9910926128048,191530.27213065,"Spanish mackerel","Scomberomorus maculatus",1950,2012,63,"no",0,Inf
"IATTC-SWORDEPAC-1951-2012-PONS","SWORDEPAC","Swordfish Eastern Pacific","multinational","Pacific Ocean","Eastern Pacific",-8.68294777966568,-116.63315180093,37218632.6954846,"swordfish","Xiphias gladius",1951,2012,62,"no",0,Inf
"ICCAT-YFINATL-1950-2011-CHING","YFINATL","Yellowfin tuna Atlantic","multinational","Atlantic Ocean","Atlantic Ocean",7.39447239992646,-22.4521994193636,94627091.8806495,"Yellowfin tuna","Thunnus albacares",1950,2011,62,"no",0,Inf
"IOTC-BLKMARLINIO-1950-2014-PONS","BLKMARLINIO","Black marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean",-14.9001341925746,76.2470365770596,48951560.0265696,"Black marlin","Istiompax indica",1950,2011,62,"no",0,Inf
"IOTC-BMARLINIO-1950-2014-PONS","BMARLINIO","Indo-Pacific blue marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean",-14.9001341925746,76.2470365770596,48951560.0265696,"Indo-Pacific blue marlin","Makaira mazara",1950,2011,62,"no",0,Inf
"IOTC-SKJCIO-1950-2014-PONS","SKJCIO","Skipjack tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean",-22.4379829118111,82.0285510874439,60407235.0420866,"skipjack tuna","Katsuwonus pelamis",1950,2011,62,"no",0,Inf
"IOTC-STMARLINIO-1950-2014-PONS","STMARLINIO","Striped marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean",-14.9001341925746,76.2470365770596,48951560.0265696,"Striped marlin","Kajikia audax",1950,2011,62,"no",0,Inf
"IOTC-YFINEIO-1950-2014-PONS","YFINEIO","Yellowfin tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean",-14.9001341925746,76.2470365770596,48951560.0265696,"Yellowfin tuna","Thunnus albacares",1950,2011,62,"no",0,Inf
"ISC-SWORDNPAC-1951-2012-PONS","SWORDNPAC","Swordfish North Pacific","Multinational","Pacific Ocean","North Pacific Ocean",22.597412928072,148.457147457689,49432129.3441759,"swordfish","Xiphias gladius",1951,2012,62,"no",0,Inf
"NWFSC-BGROCKPCOAST-1950-2011-STACHURA","BGROCKPCOAST","Blackgill rockfish  Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Blackgill rockfish","Sebastes melanostomus",1950,2011,62,"no",0,Inf
"SEFSC-BHEADSHARATL-1950-2011-HIVELY","BHEADSHARATL","Bonnethead shark Atlantic","USA","US Southeast and Gulf","Atlantic",27.5050715846691,-83.1529167021622,102754.82369363,"Bonnethead shark","Sphyrna tiburo",1950,2011,62,"no",0,Inf
"ICCAT-BIGEYEATL-1950-2010-CHING","BIGEYEATL","Bigeye tuna Atlantic","multinational","Atlantic Ocean","Atlantic Ocean",7.39447239992646,-22.4521994193636,94627091.8806495,"Bigeye tuna","Thunnus obesus",1950,2010,61,"no",0,Inf
"ISC-PACBTUNA-1952-2012-PONS","PACBTUNA","Pacific bluefin tuna Pacific Ocean","Multinational","Pacific Ocean","Pacific Ocean",-5.15857173084969,-132.921796983369,80815018.1007028,"pacific bluefin tuna","Thunnus orientalis",1952,2012,61,"yes",10,1974
"SEFSC-GRAMBERSATLC-1946-2006-JENSEN","GRAMBERSATLC","Greater amberjack Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.1877602345803,-78.3029264602483,335331.056542966,"Greater amberjack","Seriola dumerili",1946,2006,61,"no",0,Inf
"IOTC-BIGEYEIO-1950-2014-PONS","BIGEYEIO","Bigeye tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean",-10.9830938965139,74.8709943926688,42557541.1446782,"Bigeye tuna","Thunnus obesus",1952,2011,60,"no",0,Inf
"SPC-BIGEYECWPAC-1952-2012-PONS","BIGEYECWPAC","Bigeye tuna Central Western Pacific","multinational","Pacific Ocean","Central Western Pacific Ocean",0.749628730827052,-143.673828852368,81449273.2351924,"bigeye tuna","Thunnus obesus",1952,2011,60,"no",0,Inf
"SPC-STMARLINSWPO-1952-2011-CHING","STMARLINSWPO","Striped marlin Southwestern Pacific Ocean","multinational","Pacific Ocean","Western Pacific Ocean",-21.5867242431304,-156.168466325954,32295252.1795922,"Striped marlin","Kajikia audax",1952,2011,60,"no",0,Inf
"SPC-YFINCWPAC-1952-2012-PONS","YFINCWPAC","Yellowfin tuna Central Western Pacific","multinational","Pacific Ocean","Central Western Pacific Ocean",7.04059227203888,150.836135090351,53378563.0071583,"Yellowfin tuna","Thunnus albacares",1952,2011,60,"no",0,Inf
"DFO-PAC-PCOD5AB-1945-2014-OSGOOD","PCOD5AB","Pacific cod Queen Charlotte Sound","Canada","Canada West Coast","Queen Charlotte Sound",51.239012749019,-132.113569484655,109179.123208211,"Pacific cod","Gadus macrocephalus",1956,2014,59,"yes",6,1997
"DFO-PAC-PCODHS-1944-2014-OSGOOD","PCODHS","Pacific cod Hecate Strait","Canada","Canada West Coast","Hecate Strait",53.0910311356626,-133.460542402941,146949.829107123,"Pacific cod","Gadus macrocephalus",1956,2014,59,"no",0,Inf
"NIWA-SMOOTHOREOCR-1955-2013-FU","SMOOTHOREOCR","Smooth oreo Chatham Rise","New Zealand","New Zealand","Chatham Rise",-44.0904225697957,-175.697578653064,424644.549722865,"Smooth oreo","Pseudocyttus maculatus",1955,2013,59,"no",0,Inf
"ICCAT-ALBASATL-1950-2015-PONS","ALBASATL","Albacore tuna South Atlantic","multinational","Atlantic Ocean","South Atlantic",-42.9091679378942,-22.2653897603318,46463577.2645991,"albacore tuna","Thunnus alalunga",1956,2012,57,"no",0,Inf
"ICCAT-SKJEATL-1950-2010-CHING","SKJEATL","Skipjack tuna Eastern Atlantic","multinational","Atlantic Ocean","Eastern Atlantic",13.9216958825234,-1.80264827281735,32051347.8882674,"Skipjack tuna","Katsuwonus pelamis",1950,2006,57,"no",0,Inf
"ICCAT-SWORDSATL-1950-2015-PONS","SWORDSATL","Swordfish South Atlantic","multinational","Atlantic Ocean","South Atlantic",-42.9091679378942,-22.2653897603318,46463577.2645991,"Swordfish","Xiphias gladius",1956,2012,57,"no",0,Inf
"AFSC-GHALBSAI-1960-2015-HIVELY","GHALBSAI","Greenland turbot Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands",57.8980221696891,-171.49918806879,490087.604242103,"Greenland halibut","Reinhardtius hippoglossoides",1960,2015,56,"no",0,Inf
"SEFSC-BNOSESHARATL-1950-2005-FAUCONNET","BNOSESHARATL","Blacknose shark Atlantic","USA","US Southeast and Gulf","Atlantic",27.6548913686046,-84.1184624692604,267493.646649634,"Blacknose shark","Carcharhinus acronotus",1950,2005,56,"no",0,Inf
"SEFSC-RSNAPSATLC-1954-2010-HIVELY","RSNAPSATLC","Red snapper Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.1877602345803,-78.3029264602483,335331.056542966,"Red snapper","Lutjanus campechanus",1955,2010,56,"yes",26,1985
"SEFSC-SNOSESHARATL-1950-2005-FAUCONNET","SNOSESHARATL","Atlantic sharpnose shark Atlantic","USA","Atlantic Ocean","Atlantic",27.9534366219539,-88.1732878818093,451937.880823843,"Atlantic sharpnose shark","Rhizoprionodon terraenovae",1950,2005,56,"no",0,Inf
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","SBELLYROCKPCOAST","Shortbelly rockfish Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Shortbelly rockfish","Sebastes jordani",1950,2005,56,"no",0,Inf
"ICCAT-BMARLINATL-1956-2010-CHING","BMARLINATL","Blue marlin Atlantic","multinational","Atlantic Ocean","Atlantic Ocean",7.39447239992646,-22.4521994193636,94627091.8806495,"Blue marlin","Makaira nigricans",1956,2010,55,"no",0,Inf
"ICCAT-WMARLINATL-1956-2011-CHING","WMARLINATL","White marlin Atlantic","multinational","Atlantic Ocean","Atlantic Ocean",7.39447239992646,-22.4521994193636,94627091.8806495,"white marlin","Tetrapturus albidus",1956,2010,55,"no",0,Inf
"NAFO-SC-REDFISHSPP3LN-1959-2013-WATSON","REDFISHSPP3LN","Redfish species NAFO 3LN","multinational","Canada East Coast","N and SW Grand Banks",44.7015632447916,-49.2957057439628,476973.544548099,"Redfish species","Sebastes spp",1959,2013,55,"yes",5,1994
"NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","GEMFISHNZ","common gemfish New Zealand","New Zealand","New Zealand","New Zealand",-35.7821926920325,174.566475860755,981971.234709097,"common gemfish","Rexea solandri",1952,2006,55,"no",0,Inf
"SPC-BIGEYEWPO-1952-2006-JENSEN","BIGEYEWPO","Bigeye tuna Western Pacific Ocean","multinational","Pacific Ocean","Western Pacific Ocean",-2.21016495085646,-140.633873858923,87038360.9465861,"Bigeye tuna","Thunnus obesus",1952,2006,55,"no",0,Inf
