"assessid","stockid","stocklong","country","region","area","lat_dd","long_dd","area_sqkm","common_name","sci_name","yr1","yr2","nyr","collapse","nyrs.collapsed","yr.1st.collapse"
"NEFSC-ATHAL5YZ-1800-2007-COL","ATHAL5YZ","Atlantic Halibut NAFO-5YZ","USA","US East Coast","Gulf of Maine / Georges Bank",42.1272566106241,-68.6056023906249,124192.847897247,"Atlantic Halibut","Hippoglossus hippoglossus",1800,2007,208,"yes",112,1896
"SEFSC-RSNAPGM-1872-2011-HIVELY","RSNAPGM","Red snapper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.855909181,"Red snapper","Lutjanus campechanus",1872,2011,140,"yes",30,1979
"NIWA-OROUGHYNZMEC-1882-2014-FU","OROUGHYNZMEC","Orange roughy New Zealand Mid East Coast","New Zealand","New Zealand","New Zealand Mid East Coast",-40.8208826432578,-177.173882694273,289703.19227208,"Orange roughy","Hoplostethus atlanticus",1882,2014,133,"no",0,Inf
"NWFSC-ESOLEPCOAST-1876-2007-BRANCH","ESOLEPCOAST","English sole Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"English sole","Parophrys vetulus",1876,2007,132,"no",0,Inf
"SEFSC-SPANMACKGM-1886-2011-HIVELY","SPANMACKGM","Spanish mackerel Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico",28.0830999848324,-88.3813912456703,340141.855909181,"Spanish mackerel","Scomberomorus maculatus",1886,2011,126,"no",0,Inf
"NWFSC-CHILISPCOAST-1892-2007-BRANCH","CHILISPCOAST","Chilipepper Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast",40.2726421820869,-124.567920064299,437002.012493155,"Chilipepper","Sebastes goodei",1892,2007,116,"no",0,Inf
"PFMC-COWCODSCAL-1900-2015-HIVELY","COWCODSCAL","Cowcod Southern California","USA","US West Coast","Southern California",33.0720325333246,-119.456713828192,91849.8244958058,"Cowcod","Sebastes levis",1900,2015,116,"no",0,Inf
"NIWA-NZSNAPNZ1BOP-HAGU-1899-2013-FU","NZSNAPNZ1BOP-HAGU","New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf","New Zealand","New Zealand","New Zealand SNA 1 Bay of Plenty and Hauraki Gulf",-36.8565354009291,176.628862157638,44445.0348932879,"New Zealand snapper","Chrysophrys auratus",1899,2013,115,"no",0,Inf
"NIWA-NZSNAPNZ1ENLD-1899-2013-FU","NZSNAPNZ1ENLD","New Zealand snapper New Zealand SNA 1 east Northland","New Zealand","New Zealand","New Zealand SNA 1 east Northland",-33.8015718300499,175.381981618156,197144.682441873,"New Zealand snapper","Chrysophrys auratus",1899,2013,115,"no",0,Inf
"NWFSC-SABLEFPCOAST-1900-2011-STACHURA","SABLEFPCOAST","Sablefish Pacific Coast","USA","US West Coast","Pacific Coast",33.0720325333246,-119.456713828192,91849.8244958058,"Sablefish","Anoplopoma fimbria",1900,2011,112,"no",0,Inf
"SEFSC-KMACKSATLC-1901-2012-HIVELY","KMACKSATLC","King mackerel Southern Atlantic Coast","USA","US Southeast and Gulf","Southern Atlantic coast",31.7713994916115,-77.9910926128048,191530.27213065,"King Mackerel","Scomberomorus cavalla",1901,2012,112,"no",0,Inf
"NWFSC-SNROCKPCOAST-1905-2009-STANTON","SNROCKPCOAST","Splitnose Rockfish Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Splitnose Rockfish","Sebastes diploproa",1905,2009,105,"no",0,Inf
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Shortspine thornyhead","Sebastolobus alascanus",1901,2005,105,"no",0,Inf
"NIWA-OROUGHYESCR-1910-2014-FU","OROUGHYESCR","Orange roughy East and South Chatham Rise","New Zealand","New Zealand","East and South Chatham Rise",-44.1478902581409,-175.860144573897,390293.845464828,"Orange roughy","Hoplostethus atlanticus",1911,2014,104,"no",0,Inf
"NIWA-OROUGHYNWCR-1910-2014-FU","OROUGHYNWCR","Orange Roughy Northwest Chatham Rise","New Zealand","New Zealand","Northwest Chatham Rise",-42.9873341779824,177.005160115513,111259.779676657,"Orange roughy","Hoplostethus atlanticus",1911,2014,104,"no",0,Inf
"NIWA-OROUGHYNZ7A-1910-2014-FU","OROUGHYNZ7A","Orange roughy New Zealand Challenger Plateau","New Zealand","New Zealand","New Zealand Challenger Plateau",-40.3701562357199,169.968047947884,190589.338099266,"Orange roughy","Hoplostethus atlanticus",1911,2014,104,"no",0,Inf
"SWFSC-DSOLEPCOAST-1910-2011-STACHURA","DSOLEPCOAST","Dover sole Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Dover sole","Microstomus pacificus",1910,2011,102,"no",0,Inf
"MARAM-CHAKESA-1917-2015-Rademeyer","CHAKESA","Shallow-water cape hake South Africa","South Africa","South Africa","South Africa",-34.6554583175687,19.2685633477411,609628.82080682,"Shallow-water cape hake","Merluccius capensis",1917,2015,99,"no",0,Inf
"MARAM-DEEPCHAKESA-1917-2015-Rademeyer","DEEPCHAKESA","Deep-water cape hake South Africa","South Africa","South Africa","South Africa",-34.6554583175687,19.2685633477411,609628.82080682,"Deep-water cape hake","Merluccius paradoxus",1917,2015,99,"no",0,Inf
"NWFSC-CROCKPCOAST-1916-2011-STACHURA","CROCKPCOAST","Canary rockfish Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Canary rockfish","Sebastes pinniger",1916,2011,96,"no",0,Inf
"NWFSC-SPSDOGPCOAST-1916-2011-STACHURA","SPSDOGPCOAST","Spotted spiny dogfish Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Spotted spiny dogfish","Squalus suckleyi",1916,2011,96,"no",0,Inf
"NWFSC-WROCKPCOAST-1916-2011-STACHURA","WROCKPCOAST","Widow rockfish Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Widow rockfish","Sebastes entomelas",1916,2011,96,"no",0,Inf
"NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA","YEYEROCKPCOAST","Yelloweye rockfish Pacific Coast","USA","US West Coast","Pacific Coast",35.5832142875811,-121.653433986664,191133.792405355,"Yelloweye rockfish","Sebastes ruberrimus",1916,2011,96,"no",0,Inf
"CSIRO-MORWONGSE-1913-2007-FULTON","MORWONGSE","Jackass morwong Southeast Australia","Australia","Australia","Southeast Australia",-36.680401419716,137.420683363327,585584.905779735,"Jackass morwong","Nemadactylus macropterus",1913,2007,95,"no",0,Inf
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank",42.7653306255939,-68.8712117769524,72893.647514937,"Acadian redfish","Sebastes fasciatus",1913,2007,95,"yes",19,1980
"SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","GRSPROCKNCAL","Greenspotted rockfish Pacific Coast North","USA","US West Coast","Pacific Coast",39.1651993998497,-124.731790436169,163996.24774737,"Greenspotted rockfish","Sebastes chlorostictus",1916,2010,95,"no",0,Inf
"SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","GRSPROCKSCAL","Greenspotted rockfish Pacific Coast South","USA","US West Coast","Pacific Coast",33.0720325333246,-119.456713828192,91849.8244958058,"Greenspotted rockfish","Sebastes chlorostictus",1916,2010,95,"no",0,Inf
"CSIRO-TIGERFLATSE-1913-2006-FULTON","TIGERFLATSE","Tiger flathead Southeast Australia","Australia","Australia","Southeast Australia",-39.3130557998632,145.988615264341,256043.237104409,"Tiger flathead","Neoplatycephalus richardsoni",1913,2006,94,"no",0,Inf
"PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","USA","US West Coast","Pacific Coast",33.0720325333246,-119.456713828192,91849.8244958058,"Greenstriped rockfish","Sebastes elongatus",1916,2009,94,"no",0,Inf
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","BLACKROCKSPCOAST","Black rockfish Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast",39.9340748633668,-124.465416663601,415322.589539468,"Black rockfish","Sebastes melanops",1915,2007,93,"no",0,Inf
"NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","LNOSESKAPCOAST","Longnose skate Pacific Coast","USA","US West Coast","Pacific Coast",33.0720325333246,-119.456713828192,91849.8244958058,"Longnose skate","Raja rhina",1915,2007,93,"no",0,Inf
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA","US West Coast","Pacific Coast",40.2726421820869,-124.567920064299,437002.012493155,"Arrowtooth flounder","Reinhardtius stomias",1916,2007,92,"no",0,Inf
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","BLACKROCKNPCOAST","Black rockfish Northern Pacific Coast","USA","US West Coast","Northern Pacific Coast",46.9310775669955,-125.864175778978,88173.5499373139,"Black rockfish","Sebastes melanops",1915,2006,92,"no",0,Inf
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH","BLUEROCKCAL","Blue rockfish California","USA","US West Coast","California",39.1651993998497,-124.731790436169,163996.24774737,"Blue rockfish","Sebastes mystinus",1916,2007,92,"no",0,Inf
"DFO-PAC-LINGCODSOG-1927-2014-OSGOOD","LINGCODSOG","Lingcod Strait of Georgia","Canada","Canada West Coast","Straight of Georgia",49.820156582162,-124.879086643103,14780.4807901658,"Lingcod","Ophiodon elongatus",1927,2014,88,"yes",19,1980
"NIWA-BKCDLFENI-1923-2009-CORDUE","BKCDLFENI","Black cardinalfish East coast of North Island","New Zealand","New Zealand","East coast of North Island",-42.6689296671429,176.288834071144,951474.758076608,"Black cardinalfish","Epigonus telescopus",1923,2009,87,"no",0,Inf
