"","stockid","stocklong","country","region","area","fishery_type","taxa_group","kingdom","phylum","class","order","family","genus","species","comm_name","yr1","yr2","n","overfished","collapsed"
"77","CHAKESA","Shallow-water cape hake South Africa","South Africa","South Africa","South Africa","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius capensis","Shallow-water cape hake",1917,2015,99,TRUE,FALSE
"78","CHILISPCOAST","Chilipepper Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes goodei","Chilipepper",1892,2015,124,FALSE,FALSE
"79","CHROCKCPCOAST","China rockfish Central Pacific Coast","USA","US West Coast","Central Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes nebulosus","China rockfish",1900,2015,116,FALSE,FALSE
"80","CHROCKNPCOAST","China rockfish Northern Pacific Coast","USA","US West Coast","Northern Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes nebulosus","China rockfish",1900,2015,116,FALSE,FALSE
"81","CHROCKSPCOAST","China rockfish Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes nebulosus","China rockfish",1900,2015,116,TRUE,FALSE
"82","CMACKPCOAST","Pacific chub mackerel Pacific Coast","USA","US West Coast","Pacific Coast","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Pacific chub mackerel",1929,2008,80,TRUE,TRUE
"83","CMACKPJPN","Chub mackerel Pacific Coast of Japan","Japan","Russia Japan","Pacific Coast of Japan","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Chub mackerel",1970,2013,44,TRUE,TRUE
"84","CMACKTSST","Chub mackerel Tsushima Strait","Japan","Russia Japan","Tsushima Strait","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Chub mackerel",1973,2013,41,TRUE,FALSE
"85","COBGM","Cobia Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Rachycentridae","Rachycentron","Rachycentron canadum","Cobia",1927,2011,85,FALSE,FALSE
"86","COBSATLC","Cobia Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Rachycentridae","Rachycentron","Rachycentron canadum","Cobia",1950,2011,62,FALSE,FALSE
"87","COD2J3KL","Atlantic cod NAFO 2J3KL","Canada","Canada East Coast","Southern Labrador-Eastern Newfoundland","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1962,2011,50,TRUE,TRUE
"88","COD3Ps","Atlantic cod NAFO 3Ps","Canada","Canada East Coast","St. Pierre Bank","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1983,2014,32,FALSE,FALSE
"89","CODBA2224","Atlantic cod Baltic Areas 22 and 24","multinational","European Union","Western Baltic","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1994,2016,23,TRUE,FALSE
"90","CODBA2532","Atlantic cod Baltic Areas 25-32","multinational","European Union","Eastern Baltic","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1966,2013,48,FALSE,FALSE
"91","CODFAPL","Atlantic cod Faroe Plateau","multinational","Europe non EU","Faroe Plateau","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1959,2016,58,TRUE,FALSE
"92","CODGB","Atlantic cod Georges Bank","USA","US East Coast","Georges Bank","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1978,2011,34,TRUE,TRUE
"93","CODICE","Atlantic cod Iceland","multinational","Europe non EU","Iceland Grounds","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1955,2016,62,FALSE,FALSE
"94","CODIIIaW-IV-VIId","Atlantic cod IIIa (west) and IV-VIId","multinational","European Union","IIIa (west) and IV-VIId","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1963,2016,54,TRUE,FALSE
"95","CODIS","Atlantic cod Irish Sea","multinational","European Union","Irish Sea","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1968,2016,49,TRUE,TRUE
"96","CODNEAR","Atlantic cod Northeast Arctic","multinational","Europe non EU","North-East Arctic","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1946,2016,71,TRUE,FALSE
"97","CODNEARNCW","Atlantic cod Northeast Arctic (Norwegian coastal waters)","multinational","Europe non EU","North-East Arctic (Norwegian coastal waters)","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1995,2015,21,TRUE,FALSE
"98","CODVIa","Atlantic cod West of Scotland","multinational","European Union","West of Scotland","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",1981,2016,36,TRUE,TRUE
"99","CODVIIek","Atlantic Cod Celtic Sea","multinational","European Union","Celtic Sea","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic Cod",1971,2016,46,TRUE,FALSE
"100","COWCODSCAL","Cowcod Southern California","USA","US West Coast","Southern California","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes levis","Cowcod",1900,2015,116,TRUE,FALSE
"101","CPRROCKPCOAST","Copper rockfish Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes caurinus","Copper rockfish",1916,2013,98,FALSE,FALSE
"102","CROCKPCOAST","Canary rockfish Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes pinniger","Canary rockfish",1892,2015,124,TRUE,FALSE
"103","CROCKWCVANISOGQCI","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada","Canada West Coast","West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes pinniger","Canary rockfish",1945,2009,65,FALSE,FALSE
"104","CSARDCSCH","Chilean sardine Central-Southern Chile","Chile","South America","Central-Southern Chile","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Strangomera","Strangomera bentincki","Chilean sardine",1990,2015,26,TRUE,FALSE
"105","CTRACSA","Cape horse mackerel South Africa South coast","South Africa","South Africa","South Africa South coast","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus capensis","Cape horse mackerel",1949,2013,65,FALSE,FALSE
"106","CUSK4X","Cusk NAFO 4X","Canada","Canada East Coast","Western Scotian Shelf","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Brosme","Brosme brosme","Cusk",1970,2007,38,TRUE,FALSE
"107","DEEPCHAKESA","Deep-water cape hake South Africa","South Africa","South Africa","South Africa","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius paradoxus","Deep-water cape hake",1917,2015,99,TRUE,FALSE
"108","DEEPFLATHEADSE","Deepwater flathead Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","Platycephalus","Platycephalus conatus","Deepwater flathead",1980,2015,36,FALSE,FALSE
"109","DKROCKPCOAST","Darkblotched rockfish Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes crameri","Darkblotched rockfish",1915,2015,101,TRUE,FALSE
"110","DOYSFS","Dredge oyster Foveax Strait","New Zealand","New Zealand","Foveax Strait","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Ostrea","Ostrea chilensis","Dredge oyster",1906,2012,107,FALSE,FALSE
"111","DSOLEGA","Dover sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus pacificus","Dover sole",1978,2015,38,FALSE,FALSE
"112","DSOLEPCOAST","Dover sole Pacific Coast","USA","US West Coast","Pacific Coast","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus pacificus","Dover sole",1910,2011,102,FALSE,FALSE
"113","DUSROCKGA","Dusky rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes variabilis","Dusky rockfish",1977,2015,39,FALSE,FALSE
"114","EBASSIVbc-VII","European seabass IVbc and VII","multinational","European Union","IVbc and VII","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax","European seabass",1985,2016,32,FALSE,FALSE
"115","ESOLEPCOAST","English sole Pacific Coast","USA","US West Coast","Pacific Coast","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Parophrys","Parophrys vetulus","English sole",1876,2007,132,FALSE,FALSE
"116","FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides elassodon","Flathead sole",1977,2015,39,TRUE,TRUE
"117","FLSOLEGA","Flathead sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides elassodon","Flathead sole",1978,2015,38,FALSE,FALSE
"118","FMEG8c9a","Fourspotted megrim ICES VIIIc-IXa","multinational","European Union","VIIIc-IXa","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","Lepidorhombus boscii","Fourspotted megrim",1986,2016,31,FALSE,FALSE
"119","GAGGM","Gag Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca","Mycteroperca microlepis","Gag",1963,2012,50,TRUE,TRUE
"120","GAGSATLC","Gag Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca","Mycteroperca microlepis","Gag",1962,2012,51,FALSE,FALSE
"121","GEMFISHNZ","common gemfish New Zealand","New Zealand","New Zealand","New Zealand","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Gempylidae","Rexea","Rexea solandri","common gemfish",1952,2006,55,FALSE,FALSE
"122","GEMFISHSE","common gemfish Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Gempylidae","Rexea","Rexea solandri","common gemfish",1966,2007,42,TRUE,TRUE
"123","GHALBSAI","Greenland turbot Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Greenland halibut",1960,2015,56,FALSE,FALSE
"124","GHALV-VI-XII-XIV","Greenland halibut V-VI-XII-XIV","multinational","European Union","V-VI-XII-XIV","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Greenland halibut",1960,2016,57,TRUE,FALSE
"125","GOLDREDV-VI-XII-XIV","Golden Redfish V-VI-XII-XIV","multinational","European Union","V-VI-XII-XIV","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Golden Redfish",1971,2016,46,FALSE,FALSE
"126","GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes carnatus","Gopher rockfish",1965,2005,41,FALSE,FALSE
"127","GRAMBERGM","Greater amberjack Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Other Marine","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola dumerili","Greater amberjack",1950,2012,63,TRUE,TRUE
"128","GRAMBERSATLC","Greater amberjack Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola dumerili","Greater amberjack",1946,2006,61,FALSE,FALSE
"129","GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes elongatus","Greenstriped rockfish",1916,2009,94,FALSE,FALSE
"130","GRSPROCKNCAL","Greenspotted rockfish Pacific Coast North","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes chlorostictus","Greenspotted rockfish",1916,2010,95,TRUE,FALSE
"131","GRSPROCKSCAL","Greenspotted rockfish Pacific Coast South","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes chlorostictus","Greenspotted rockfish",1916,2010,95,FALSE,FALSE
"132","GSTRGZRSTA7","Giant stargazer NZ Area STA7","New Zealand","New Zealand","NZ Area STA7","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Uranoscopidae","Kathetostoma","Kathetostoma giganteum","Giant stargazer",1964,2007,44,FALSE,FALSE
"133","GTRIGGM","Gray triggerfish Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","Balistes capriscus","Gray triggerfish",1945,2013,69,FALSE,FALSE
"134","HAD4X5Y","Haddock NAFO-4X5Y","Canada","Canada East Coast","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1970,2010,41,TRUE,FALSE
"135","HAD5Y","Haddock NAFO-5Y","USA","US East Coast","Gulf of Maine","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1977,2014,38,TRUE,TRUE
"136","HADFAPL","Haddock Faroe Plateau","multinational","Europe non EU","Faroe Plateau","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1957,2016,60,TRUE,FALSE
"137","HADGB","Haddock Georges Bank","USA","US East Coast","Georges Bank","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1960,2014,55,TRUE,TRUE
"138","HADICE","Haddock Iceland","multinational","Europe non EU","Iceland Grounds","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1979,2016,38,FALSE,FALSE
"139","HADNEAR","Haddock Northeast Arctic","multinational","Europe non EU","North-East Arctic","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1950,2016,67,FALSE,FALSE
"140","HADNS-IIIa-VIa","Haddock North Sea and IIIa-VIa","multinational","European Union","North Sea and IIIa-VIa","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1972,2015,44,FALSE,FALSE
"141","HADROCK","Haddock Rockall Bank","multinational","European Union","Rockall Bank","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1991,2016,26,TRUE,FALSE
"142","HADVIIb-k","Haddock ICES VIIb-k","multinational","European Union","ICES VIIb-k","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",1993,2016,24,FALSE,FALSE
"143","HAKENRTN","Hake Northeast Atlantic North","multinational","European Union","IIIa-IV-VI-VII-VIIIabd","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","Hake",1978,2016,39,FALSE,FALSE
"144","HAKESOTH","Hake Northeast Atlantic South","multinational","European Union","VIIIc-IXa","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","Hake",1982,2016,35,FALSE,FALSE
"145","HERR2224IIIa","Herring ICES 22-24-IIIa","multinational","European Union","22-24-IIIa","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1991,2016,26,FALSE,FALSE
"146","HERR2529-32","Herring Subdivisions 25-29 and 32","multinational","European Union","Subdivisions 25-29 and 32","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1974,2016,43,FALSE,FALSE
"147","HERR30","Herring ICES 30","multinational","European Union","Bothnian Sea","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1973,2016,44,FALSE,FALSE
"148","HERRIsum","Herring Iceland (Summer spawners)","multinational","Europe non EU","Iceland Grounds","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1987,2014,28,FALSE,FALSE
"149","HERRNIRS","Herring Northern Irish Sea","multinational","European Union","Irish Sea","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1961,2016,56,FALSE,FALSE
"150","HERRNORSS","Norwegian Spring Spawning Herring","multinational","Europe non EU","I-II-IVa-V-XIVa","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1988,2015,28,TRUE,FALSE
"151","HERRNS-IIIa-VIId","Herring IIIa, VIId and North Sea","multinational","European Union","IIIa, VIId and North Sea","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1947,2016,70,TRUE,TRUE
"152","HERRNWATLC","Atlantic herring Northwestern Atlantic Coast","USA","US East Coast","Northwestern Atlantic Coast","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1965,2014,50,TRUE,TRUE
"153","HERRRIGA","Herring ICES 28","multinational","European Union","Gulf of Riga East of Gotland","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1977,2016,40,FALSE,FALSE
"154","HERRSIRS","Herring ICES VIIa-g-h-j","multinational","European Union","ICES VIIa-g-h-j","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1958,2016,59,FALSE,FALSE
"155","HERRVIa","Herring ICES VIa","multinational","European Union","West of Scotland","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1957,2013,57,FALSE,FALSE
"156","HERRVIaVIIbc","Herring ICES VIa-VIIb-VIIc","multinational","European Union","VIa, VIIb and VIIc","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",1957,2016,60,FALSE,FALSE
"157","HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel IIa-IVa-Vb-VIa-VII-VIII","multinational","European Union","IIa-IVa-Vb-VIa-VII-VIII","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trachurus","Horse mackerel",1982,2015,34,FALSE,FALSE
"158","HMACKIXa","Horse mackerel Portugese Waters -East","multinational","European Union","Portugese Waters -East","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trachurus","Horse mackerel",1992,2016,25,FALSE,FALSE
"159","HOGFISHEGM","Hogfish Eastern Gulf of Mexico","USA","US Southeast and Gulf","Eastern Gulf of Mexico","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Lachnolaimus","Lachnolaimus maximus","Hogfish",1986,2012,27,FALSE,FALSE
"160","HOGFISHSEFL","Hogfish Southeast Florida","USA","US Southeast and Gulf","Southeast Florida","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Lachnolaimus","Lachnolaimus maximus","Hogfish",1986,2012,27,TRUE,FALSE
"161","HOKIENZ","Hoki Eastern New Zealand","New Zealand","New Zealand","Eastern New Zealand","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","Hoki",1970,2015,46,FALSE,FALSE
"162","HOKIWNZ","Hoki Western New Zealand","New Zealand","New Zealand","Western New Zealand","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","Hoki",1970,2015,46,TRUE,FALSE
"163","JAMBERJPN","Japanese amberjack Japan","Japan","Russia Japan","Japan","Other Marine","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola quinqueradiata","Japanese amberjack",1994,2013,20,TRUE,TRUE
"164","JANCHOPJPN","Japanese anchovy Pacific Coast of Japan","Japan","Russia Japan","Pacific Coast of Japan","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis japonicus","Japanese anchovy",1978,2013,36,TRUE,TRUE
"165","JANCHOSETO","Japanese anchovy Inland Sea of Japan","Japan","Russia Japan","Inland Sea of Japan","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis japonicus","Japanese anchovy",1981,2013,33,FALSE,FALSE
"166","JANCHOTSST","Japanese anchovy Tsushima Strait","Japan","Russia Japan","Tsushima Strait","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis japonicus","Japanese anchovy",1977,2013,37,TRUE,TRUE
"167","JCSQUIDJPNAR","Japanese flying squid Japan Autumn recruitment","Japan","Russia Japan","Japan Autumn recruitment","Invertebrate","cephalopods","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes","Todarodes pacificus","Japanese flying squid",1979,2014,36,TRUE,FALSE
"168","JCSQUIDJPNWR","Japanese flying squid Japan Winter recruitment","Japan","Russia Japan","Japan Winter recruitment","Invertebrate","cephalopods","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes","Todarodes pacificus","Japanese flying squid",1979,2014,36,TRUE,TRUE
"169","JMACKPJPN","Japanese jack mackerel Pacific Coast of Japan","Japan","Russia Japan","Pacific Coast of Japan","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus japonicus","Japanese jack mackerel",1982,2013,32,TRUE,TRUE
"170","JMACKTSST","Japanese jack mackerel Tsushima Strait","Japan","Russia Japan","Tsushima Strait","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus japonicus","Japanese jack mackerel",1973,2013,41,TRUE,FALSE
"171","JPUFFIMKB","Japanese pufferfish Ise and Mikawa Bay","Japan","Russia Japan","Ise and Mikawa Bay","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Takifugu","Takifugu rubripes","Japanese pufferfish",1993,2013,21,TRUE,TRUE
"172","KELPGREENLINGORECOAST","Kelp greenling Oregon Coast","USA","US West Coast","Oregon Coast","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","Hexagrammos decagrammus","Kelp greenling",1915,2015,101,FALSE,FALSE
"173","KMACKGM","King mackerel Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Tuna and Marlin","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus cavalla","King Mackerel",1929,2012,84,FALSE,FALSE
"174","KMACKSATLC","King mackerel Southern Atlantic Coast","USA","US Southeast and Gulf","Southern Atlantic coast","Tuna and Marlin","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus cavalla","King Mackerel",1901,2012,112,FALSE,FALSE
"175","KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes evermanni","Kamchatka flounder",1991,2015,25,FALSE,FALSE
"176","LINGCODNPCOAST","Lingcod Northern Pacific Coast","USA","US West Coast","Northern Pacific Coast","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","Lingcod",1928,2009,82,FALSE,FALSE
"177","LINGCODSOG","Lingcod Strait of Georgia","Canada","Canada West Coast","Straight of Georgia","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","Lingcod",1927,2014,88,TRUE,TRUE
"178","LINGCODSPCOAST","Lingcod Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","Lingcod",1928,2009,82,TRUE,FALSE
