"","stockid","stocklong","year","bbmsy"
"25","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1937,2.243657332
"26","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1938,2.187309684
"27","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1939,2.113356954
"28","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1940,2.029244572
"29","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1941,1.909185663
"30","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1942,1.735319019
"31","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1943,1.565738923
"32","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1944,1.411462335
"33","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1945,1.275114545
"34","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1946,1.160181707
"35","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1947,1.042552435
"36","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1948,0.926641339
"37","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1949,0.825375651
"38","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1950,0.745773926
"39","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1951,0.666858761
"40","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1952,0.609998862
"41","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1953,0.577719912
"42","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1954,0.56078716
"43","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1955,0.550890748
"44","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1956,0.538956003
"45","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1957,0.520408236
"46","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1958,0.497132815
"47","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1959,0.479378326
"48","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1960,0.468613933
"49","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1961,0.462530949
"50","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1962,0.451044424
"51","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1963,0.445167762
"52","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1964,0.450080395
"53","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1965,0.45941831
"54","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1966,0.469204445
"55","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1967,0.475095336
"56","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1968,0.481537608
"57","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1969,0.486934033
"58","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1970,0.471402857
"59","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1971,0.436786761
"60","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1972,0.390275051
"61","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1973,0.342496941
"62","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1974,0.30550101
"63","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1975,0.282115313
"64","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1976,0.260856883
"65","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1977,0.238573949
"66","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1978,0.21031475
"67","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1979,0.176566635
"68","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1980,0.144735906
"69","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1981,0.121346652
"70","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1982,0.101721022
"71","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1983,0.085859017
"72","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1984,0.074102137
"73","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1985,0.064383591
"74","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1986,0.057887959
"75","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1987,0.055931444
"76","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1988,0.057646063
"77","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1989,0.062391502
"78","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1990,0.069420729
"79","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1991,0.06372549
"80","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1992,0.054736191
"81","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1993,0.062800592
"82","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1994,0.074215971
"83","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1995,0.091419079
"84","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1996,0.115882638
"85","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1997,0.148517317
"86","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1998,0.18904209
"87","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1999,0.235503998
"88","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2000,0.286448106
"89","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2001,0.339665329
"90","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2002,0.395148553
"91","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2003,0.454196192
"92","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2004,0.517238681
"93","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2005,0.584806056
"94","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2006,0.656773813
"95","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2007,0.732458949
"96","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2008,0.811601781
"97","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2009,0.896969891
"98","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2010,0.99205299
"99","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2011,1.099881898
"100","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2012,1.218613933
"101","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2013,1.344634879
"102","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2014,1.173923561
"103","ACMACKSARG","Argentine chub mackerel Southern Argentina",1990,1.921348315
"104","ACMACKSARG","Argentine chub mackerel Southern Argentina",1991,1.887640449
"105","ACMACKSARG","Argentine chub mackerel Southern Argentina",1992,1.797752809
"106","ACMACKSARG","Argentine chub mackerel Southern Argentina",1993,1.696629213
"107","ACMACKSARG","Argentine chub mackerel Southern Argentina",1994,1.617977528
"108","ACMACKSARG","Argentine chub mackerel Southern Argentina",1995,1.505617978
"109","ACMACKSARG","Argentine chub mackerel Southern Argentina",1996,1.426966292
"110","ACMACKSARG","Argentine chub mackerel Southern Argentina",1997,1.314606742
"111","ACMACKSARG","Argentine chub mackerel Southern Argentina",1998,1.235955056
"112","ACMACKSARG","Argentine chub mackerel Southern Argentina",1999,1.088764045
"113","ACMACKSARG","Argentine chub mackerel Southern Argentina",2000,0.960674157
"114","ACMACKSARG","Argentine chub mackerel Southern Argentina",2001,0.946067416
"115","ACMACKSARG","Argentine chub mackerel Southern Argentina",2002,0.871910112
"116","ACMACKSARG","Argentine chub mackerel Southern Argentina",2003,0.920224719
"117","ACMACKSARG","Argentine chub mackerel Southern Argentina",2004,1.006741573
"118","ACMACKSARG","Argentine chub mackerel Southern Argentina",2005,1.247191011
"119","ACMACKSARG","Argentine chub mackerel Southern Argentina",2006,1.494382022
"120","ACMACKSARG","Argentine chub mackerel Southern Argentina",2007,1.539325843
"121","ACMACKSARG","Argentine chub mackerel Southern Argentina",2008,1.573033708
"122","ACMACKSARG","Argentine chub mackerel Southern Argentina",2009,1.719101124
"123","ACMACKSARG","Argentine chub mackerel Southern Argentina",2010,1.730337079
"124","ACMACKSARG","Argentine chub mackerel Southern Argentina",2011,1.595505618
"125","ACMACKSARG","Argentine chub mackerel Southern Argentina",2012,1.528089888
"126","ACMACKSARG","Argentine chub mackerel Southern Argentina",2013,1.550561798
"127","ACMACKSARG","Argentine chub mackerel Southern Argentina",2014,1.528089888
"128","ACMACKSARG","Argentine chub mackerel Southern Argentina",2015,1.449438202
"129","ALBAIO","Albacore tuna Indian Ocean",1950,5.16
"130","ALBAIO","Albacore tuna Indian Ocean",1951,5.16
"131","ALBAIO","Albacore tuna Indian Ocean",1952,5.16
"132","ALBAIO","Albacore tuna Indian Ocean",1953,5.15
"133","ALBAIO","Albacore tuna Indian Ocean",1954,5.11
"134","ALBAIO","Albacore tuna Indian Ocean",1955,5.07
"135","ALBAIO","Albacore tuna Indian Ocean",1956,5
"136","ALBAIO","Albacore tuna Indian Ocean",1957,4.95
"137","ALBAIO","Albacore tuna Indian Ocean",1958,4.91
"138","ALBAIO","Albacore tuna Indian Ocean",1959,4.81
"139","ALBAIO","Albacore tuna Indian Ocean",1960,4.66
"140","ALBAIO","Albacore tuna Indian Ocean",1961,4.58
"141","ALBAIO","Albacore tuna Indian Ocean",1962,4.41
"142","ALBAIO","Albacore tuna Indian Ocean",1963,4.53
"143","ALBAIO","Albacore tuna Indian Ocean",1964,4.89
"144","ALBAIO","Albacore tuna Indian Ocean",1965,5.68
"145","ALBAIO","Albacore tuna Indian Ocean",1966,5.87
"146","ALBAIO","Albacore tuna Indian Ocean",1967,5.37
"147","ALBAIO","Albacore tuna Indian Ocean",1968,4.6
"148","ALBAIO","Albacore tuna Indian Ocean",1969,3.98
"149","ALBAIO","Albacore tuna Indian Ocean",1970,3.83
"150","ALBAIO","Albacore tuna Indian Ocean",1971,4.45
"151","ALBAIO","Albacore tuna Indian Ocean",1972,4.98
"152","ALBAIO","Albacore tuna Indian Ocean",1973,4.98
"153","ALBAIO","Albacore tuna Indian Ocean",1974,4.87
"154","ALBAIO","Albacore tuna Indian Ocean",1975,4.78
"155","ALBAIO","Albacore tuna Indian Ocean",1976,4.59
"156","ALBAIO","Albacore tuna Indian Ocean",1977,4.3
"157","ALBAIO","Albacore tuna Indian Ocean",1978,4.15
"158","ALBAIO","Albacore tuna Indian Ocean",1979,4.13
"159","ALBAIO","Albacore tuna Indian Ocean",1980,4.29
"160","ALBAIO","Albacore tuna Indian Ocean",1981,4.79
"161","ALBAIO","Albacore tuna Indian Ocean",1982,5.04
"162","ALBAIO","Albacore tuna Indian Ocean",1983,4.96
"163","ALBAIO","Albacore tuna Indian Ocean",1984,4.72
"164","ALBAIO","Albacore tuna Indian Ocean",1985,4.65
"165","ALBAIO","Albacore tuna Indian Ocean",1986,4.76
"166","ALBAIO","Albacore tuna Indian Ocean",1987,4.89
"167","ALBAIO","Albacore tuna Indian Ocean",1988,4.76
"168","ALBAIO","Albacore tuna Indian Ocean",1989,4.37
"169","ALBAIO","Albacore tuna Indian Ocean",1990,3.88
"170","ALBAIO","Albacore tuna Indian Ocean",1991,3.32
"171","ALBAIO","Albacore tuna Indian Ocean",1992,2.8
"172","ALBAIO","Albacore tuna Indian Ocean",1993,2.47
"173","ALBAIO","Albacore tuna Indian Ocean",1994,2.46
"174","ALBAIO","Albacore tuna Indian Ocean",1995,2.48
"175","ALBAIO","Albacore tuna Indian Ocean",1996,2.4
"176","ALBAIO","Albacore tuna Indian Ocean",1997,2.36
"177","ALBAIO","Albacore tuna Indian Ocean",1998,2.31
"178","ALBAIO","Albacore tuna Indian Ocean",1999,2.31
"179","ALBAIO","Albacore tuna Indian Ocean",2000,2.22
"180","ALBAIO","Albacore tuna Indian Ocean",2001,1.95
"181","ALBAIO","Albacore tuna Indian Ocean",2002,1.65
"182","ALBAIO","Albacore tuna Indian Ocean",2003,1.54
"183","ALBAIO","Albacore tuna Indian Ocean",2004,1.54
"184","ALBAIO","Albacore tuna Indian Ocean",2005,1.67
"185","ALBAIO","Albacore tuna Indian Ocean",2006,1.66
"186","ALBAIO","Albacore tuna Indian Ocean",2007,1.57
"187","ALBAIO","Albacore tuna Indian Ocean",2008,1.54
"188","ALBAIO","Albacore tuna Indian Ocean",2009,1.53
"189","ALBAIO","Albacore tuna Indian Ocean",2010,1.38
"190","ALBAIO","Albacore tuna Indian Ocean",2011,1.21
"191","ALBAIO","Albacore tuna Indian Ocean",2012,1.09
"192","ALBAMED","Albacore tuna Mediterranean",1965,1.87
"193","ALBAMED","Albacore tuna Mediterranean",1966,1.91
"194","ALBAMED","Albacore tuna Mediterranean",1967,1.94
"195","ALBAMED","Albacore tuna Mediterranean",1968,1.95
"196","ALBAMED","Albacore tuna Mediterranean",1969,1.95
"197","ALBAMED","Albacore tuna Mediterranean",1970,1.96
"198","ALBAMED","Albacore tuna Mediterranean",1971,1.96
"199","ALBAMED","Albacore tuna Mediterranean",1972,1.97
"200","ALBAMED","Albacore tuna Mediterranean",1973,1.97
"201","ALBAMED","Albacore tuna Mediterranean",1974,1.97
"202","ALBAMED","Albacore tuna Mediterranean",1975,1.98
"203","ALBAMED","Albacore tuna Mediterranean",1976,1.98
"204","ALBAMED","Albacore tuna Mediterranean",1977,1.98
"205","ALBAMED","Albacore tuna Mediterranean",1978,1.97
"206","ALBAMED","Albacore tuna Mediterranean",1979,1.98
"207","ALBAMED","Albacore tuna Mediterranean",1980,1.98
"208","ALBAMED","Albacore tuna Mediterranean",1981,1.97
"209","ALBAMED","Albacore tuna Mediterranean",1982,1.97
"210","ALBAMED","Albacore tuna Mediterranean",1983,1.97
"211","ALBAMED","Albacore tuna Mediterranean",1984,1.94
"212","ALBAMED","Albacore tuna Mediterranean",1985,1.92
"213","ALBAMED","Albacore tuna Mediterranean",1986,1.9
"214","ALBAMED","Albacore tuna Mediterranean",1987,1.91
"215","ALBAMED","Albacore tuna Mediterranean",1988,1.9
"216","ALBAMED","Albacore tuna Mediterranean",1989,1.9
"217","ALBAMED","Albacore tuna Mediterranean",1990,1.91
"218","ALBAMED","Albacore tuna Mediterranean",1991,1.91
"219","ALBAMED","Albacore tuna Mediterranean",1992,1.92
"220","ALBAMED","Albacore tuna Mediterranean",1993,1.92
"221","ALBAMED","Albacore tuna Mediterranean",1994,1.93
"222","ALBAMED","Albacore tuna Mediterranean",1995,1.93
"223","ALBAMED","Albacore tuna Mediterranean",1996,1.92
"224","ALBAMED","Albacore tuna Mediterranean",1997,1.92
"225","ALBAMED","Albacore tuna Mediterranean",1998,1.92
"226","ALBAMED","Albacore tuna Mediterranean",1999,1.9
"227","ALBAMED","Albacore tuna Mediterranean",2000,1.87
"228","ALBAMED","Albacore tuna Mediterranean",2001,1.87
"229","ALBAMED","Albacore tuna Mediterranean",2002,1.85
"230","ALBAMED","Albacore tuna Mediterranean",2003,1.85
"231","ALBAMED","Albacore tuna Mediterranean",2004,1.85
"232","ALBAMED","Albacore tuna Mediterranean",2005,1.86
"233","ALBAMED","Albacore tuna Mediterranean",2006,1.85
"234","ALBAMED","Albacore tuna Mediterranean",2007,1.82
"235","ALBAMED","Albacore tuna Mediterranean",2008,1.86
"236","ALBAMED","Albacore tuna Mediterranean",2009,1.86
"237","ALBAMED","Albacore tuna Mediterranean",2010,1.89
"238","ALBAMED","Albacore tuna Mediterranean",2011,1.91
"239","ALBANATL","Albacore tuna North Atlantic",1930,1.895244659
"240","ALBANATL","Albacore tuna North Atlantic",1931,1.881461061
"241","ALBANATL","Albacore tuna North Atlantic",1932,1.86997473
"242","ALBANATL","Albacore tuna North Atlantic",1933,1.863082931
"243","ALBANATL","Albacore tuna North Atlantic",1934,1.849299334
"244","ALBANATL","Albacore tuna North Atlantic",1935,1.828623938
"245","ALBANATL","Albacore tuna North Atlantic",1936,1.812543074
"246","ALBANATL","Albacore tuna North Atlantic",1937,1.807948541
"247","ALBANATL","Albacore tuna North Atlantic",1938,1.805651275
"248","ALBANATL","Albacore tuna North Atlantic",1939,1.798759476
"249","ALBANATL","Albacore tuna North Atlantic",1940,1.79646221
"250","ALBANATL","Albacore tuna North Atlantic",1941,1.798759476
"251","ALBANATL","Albacore tuna North Atlantic",1942,1.794164944
"252","ALBANATL","Albacore tuna North Atlantic",1943,1.787273145
"253","ALBANATL","Albacore tuna North Atlantic",1944,1.780381346
"254","ALBANATL","Albacore tuna North Atlantic",1945,1.764300482
"255","ALBANATL","Albacore tuna North Atlantic",1946,1.74132782
"256","ALBANATL","Albacore tuna North Atlantic",1947,1.729841489
"257","ALBANATL","Albacore tuna North Atlantic",1948,1.718355157
"258","ALBANATL","Albacore tuna North Atlantic",1949,1.702274294
"259","ALBANATL","Albacore tuna North Atlantic",1950,1.6678153
"260","ALBANATL","Albacore tuna North Atlantic",1951,1.633356306
"261","ALBANATL","Albacore tuna North Atlantic",1952,1.608086377
"262","ALBANATL","Albacore tuna North Atlantic",1953,1.589708247
"263","ALBANATL","Albacore tuna North Atlantic",1954,1.564438318
"264","ALBANATL","Albacore tuna North Atlantic",1955,1.541465656
"265","ALBANATL","Albacore tuna North Atlantic",1956,1.518492993
"266","ALBANATL","Albacore tuna North Atlantic",1957,1.486331266
"267","ALBANATL","Albacore tuna North Atlantic",1958,1.442683207
"268","ALBANATL","Albacore tuna North Atlantic",1959,1.396737882
"269","ALBANATL","Albacore tuna North Atlantic",1960,1.350792557
"270","ALBANATL","Albacore tuna North Atlantic",1961,1.316333563
"271","ALBANATL","Albacore tuna North Atlantic",1962,1.274982771
"272","ALBANATL","Albacore tuna North Atlantic",1963,1.217551114
"273","ALBANATL","Albacore tuna North Atlantic",1964,1.155524925
"274","ALBANATL","Albacore tuna North Atlantic",1965,1.093498737
"275","ALBANATL","Albacore tuna North Atlantic",1966,1.056742476
"276","ALBANATL","Albacore tuna North Atlantic",1967,1.024580749
"277","ALBANATL","Albacore tuna North Atlantic",1968,0.997013554
"278","ALBANATL","Albacore tuna North Atlantic",1969,0.985527223
"279","ALBANATL","Albacore tuna North Atlantic",1970,0.976338158
"280","ALBANATL","Albacore tuna North Atlantic",1971,0.957960028
"281","ALBANATL","Albacore tuna North Atlantic",1972,0.937284631
"282","ALBANATL","Albacore tuna North Atlantic",1973,0.930392833
"283","ALBANATL","Albacore tuna North Atlantic",1974,0.916609235
"284","ALBANATL","Albacore tuna North Atlantic",1975,0.902825637
"285","ALBANATL","Albacore tuna North Atlantic",1976,0.882150241
"286","ALBANATL","Albacore tuna North Atlantic",1977,0.85228578
"287","ALBANATL","Albacore tuna North Atlantic",1978,0.827015851
"288","ALBANATL","Albacore tuna North Atlantic",1979,0.799448656
"289","ALBANATL","Albacore tuna North Atlantic",1980,0.781070526
"290","ALBANATL","Albacore tuna North Atlantic",1981,0.77877326
"291","ALBANATL","Albacore tuna North Atlantic",1982,0.771881461
"292","ALBANATL","Albacore tuna North Atlantic",1983,0.744314266
"293","ALBANATL","Albacore tuna North Atlantic",1984,0.716747071
"294","ALBANATL","Albacore tuna North Atlantic",1985,0.700666207
"295","ALBANATL","Albacore tuna North Atlantic",1986,0.677693545
"296","ALBANATL","Albacore tuna North Atlantic",1987,0.654720882
"297","ALBANATL","Albacore tuna North Atlantic",1988,0.645531817
"298","ALBANATL","Albacore tuna North Atlantic",1989,0.643234551
"299","ALBANATL","Albacore tuna North Atlantic",1990,0.636342752
"300","ALBANATL","Albacore tuna North Atlantic",1991,0.63174822
"301","ALBANATL","Albacore tuna North Atlantic",1992,0.636342752
"302","ALBANATL","Albacore tuna North Atlantic",1993,0.629450953
"303","ALBANATL","Albacore tuna North Atlantic",1994,0.615667356
"304","ALBANATL","Albacore tuna North Atlantic",1995,0.601883758
"305","ALBANATL","Albacore tuna North Atlantic",1996,0.59499196
"306","ALBANATL","Albacore tuna North Atlantic",1997,0.597289226
"307","ALBANATL","Albacore tuna North Atlantic",1998,0.601883758
"308","ALBANATL","Albacore tuna North Atlantic",1999,0.601883758
"309","ALBANATL","Albacore tuna North Atlantic",2000,0.59499196
"310","ALBANATL","Albacore tuna North Atlantic",2001,0.59499196
"311","ALBANATL","Albacore tuna North Atlantic",2002,0.606478291
"312","ALBANATL","Albacore tuna North Atlantic",2003,0.622559155
"313","ALBANATL","Albacore tuna North Atlantic",2004,0.63174822
"314","ALBANATL","Albacore tuna North Atlantic",2005,0.634045486
"315","ALBANATL","Albacore tuna North Atlantic",2006,0.620261888
"316","ALBANATL","Albacore tuna North Atlantic",2007,0.624856421
"317","ALBANATL","Albacore tuna North Atlantic",2008,0.647829083
"318","ALBANATL","Albacore tuna North Atlantic",2009,0.679990811
"319","ALBANATL","Albacore tuna North Atlantic",2010,0.714449805
"320","ALBANATL","Albacore tuna North Atlantic",2011,0.746611532
"321","ALBANPAC","Albacore tuna North Pacific",1966,2.96
"322","ALBANPAC","Albacore tuna North Pacific",1967,3.13
"323","ALBANPAC","Albacore tuna North Pacific",1968,3.18
"324","ALBANPAC","Albacore tuna North Pacific",1969,3.27
"325","ALBANPAC","Albacore tuna North Pacific",1970,3.36
"326","ALBANPAC","Albacore tuna North Pacific",1971,3.42
"327","ALBANPAC","Albacore tuna North Pacific",1972,3.39
"328","ALBANPAC","Albacore tuna North Pacific",1973,3.3
"329","ALBANPAC","Albacore tuna North Pacific",1974,3.18
"330","ALBANPAC","Albacore tuna North Pacific",1975,3.02
"331","ALBANPAC","Albacore tuna North Pacific",1976,2.95
"332","ALBANPAC","Albacore tuna North Pacific",1977,2.78
"333","ALBANPAC","Albacore tuna North Pacific",1978,2.75
"334","ALBANPAC","Albacore tuna North Pacific",1979,2.51
"335","ALBANPAC","Albacore tuna North Pacific",1980,2.37
"336","ALBANPAC","Albacore tuna North Pacific",1981,2.25
"337","ALBANPAC","Albacore tuna North Pacific",1982,2.16
"338","ALBANPAC","Albacore tuna North Pacific",1983,2.13
"339","ALBANPAC","Albacore tuna North Pacific",1984,2.14
"340","ALBANPAC","Albacore tuna North Pacific",1985,2.02
"341","ALBANPAC","Albacore tuna North Pacific",1986,1.91
"342","ALBANPAC","Albacore tuna North Pacific",1987,1.88
"343","ALBANPAC","Albacore tuna North Pacific",1988,1.83
"344","ALBANPAC","Albacore tuna North Pacific",1989,1.79
"345","ALBANPAC","Albacore tuna North Pacific",1990,1.79
"346","ALBANPAC","Albacore tuna North Pacific",1991,1.84
"347","ALBANPAC","Albacore tuna North Pacific",1992,1.99
"348","ALBANPAC","Albacore tuna North Pacific",1993,2.09
"349","ALBANPAC","Albacore tuna North Pacific",1994,2.26
"350","ALBANPAC","Albacore tuna North Pacific",1995,2.38
"351","ALBANPAC","Albacore tuna North Pacific",1996,2.45
"352","ALBANPAC","Albacore tuna North Pacific",1997,2.47
"353","ALBANPAC","Albacore tuna North Pacific",1998,2.43
"354","ALBANPAC","Albacore tuna North Pacific",1999,2.35
"355","ALBANPAC","Albacore tuna North Pacific",2000,2.19
"356","ALBANPAC","Albacore tuna North Pacific",2001,2.23
"357","ALBANPAC","Albacore tuna North Pacific",2002,2.25
"358","ALBANPAC","Albacore tuna North Pacific",2003,2.16
"359","ALBANPAC","Albacore tuna North Pacific",2004,2.06
"360","ALBANPAC","Albacore tuna North Pacific",2005,1.99
"361","ALBANPAC","Albacore tuna North Pacific",2006,2.07
"362","ALBANPAC","Albacore tuna North Pacific",2007,2.12
"363","ALBANPAC","Albacore tuna North Pacific",2008,2.07
"364","ALBANPAC","Albacore tuna North Pacific",2009,2.13
"365","ALBANPAC","Albacore tuna North Pacific",2010,2.14
"366","ALBANPAC","Albacore tuna North Pacific",2011,2.17
"367","ALBANPAC","Albacore tuna North Pacific",2012,2.2
"368","ALBASATL","Albacore tuna South Atlantic",1956,2.12
"369","ALBASATL","Albacore tuna South Atlantic",1957,2.17
"370","ALBASATL","Albacore tuna South Atlantic",1958,2.2
"371","ALBASATL","Albacore tuna South Atlantic",1959,2.22
"372","ALBASATL","Albacore tuna South Atlantic",1960,2.22
"373","ALBASATL","Albacore tuna South Atlantic",1961,2.18
"374","ALBASATL","Albacore tuna South Atlantic",1962,2.15
"375","ALBASATL","Albacore tuna South Atlantic",1963,2.08
"376","ALBASATL","Albacore tuna South Atlantic",1964,2.03
"377","ALBASATL","Albacore tuna South Atlantic",1965,1.94
"378","ALBASATL","Albacore tuna South Atlantic",1966,1.84
"379","ALBASATL","Albacore tuna South Atlantic",1967,1.77
"380","ALBASATL","Albacore tuna South Atlantic",1968,1.79
"381","ALBASATL","Albacore tuna South Atlantic",1969,1.73
"382","ALBASATL","Albacore tuna South Atlantic",1970,1.67
"383","ALBASATL","Albacore tuna South Atlantic",1971,1.65
"384","ALBASATL","Albacore tuna South Atlantic",1972,1.62
"385","ALBASATL","Albacore tuna South Atlantic",1973,1.54
"386","ALBASATL","Albacore tuna South Atlantic",1974,1.5
