"","stockid","stocklong","year","bbmsy"
"1","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1913,2.346200091
"2","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1914,2.346189419
"3","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1915,2.346132502
"4","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1916,2.346079143
"5","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1917,2.346050684
"6","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1918,2.34612183
"7","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1919,2.346474003
"8","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1920,2.347142776
"9","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1921,2.34804633
"10","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1922,2.349202453
"11","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1923,2.350543556
"12","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1924,2.351980705
"13","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1925,2.353478329
"14","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1926,2.355075557
"15","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1927,2.356708358
"16","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1928,2.358334045
"17","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1929,2.359941945
"18","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1930,2.361571189
"19","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1931,2.363068812
"20","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1932,2.364498847
"21","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1933,2.365921768
"22","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1934,2.366629671
"23","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1935,2.356605197
"24","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1936,2.309951194
